年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
1984,1,1,星期日,1983,冬月,廿九,癸亥,猪,0,甲子,甲午,,,元旦,,,二九第二天
1984,1,2,星期一,1983,冬月,三十,癸亥,猪,0,甲子,乙未,,,,,,二九第三天
1984,1,3,星期二,1983,腊月,初一,癸亥,猪,0,甲子,丙申,,,,,,二九第四天
1984,1,4,星期三,1983,腊月,初二,癸亥,猪,0,甲子,丁酉,,,,,,二九第五天
1984,1,5,星期四,1983,腊月,初三,癸亥,猪,0,甲子,戊戌,,,,,,二九第六天
1984,1,6,星期五,1983,腊月,初四,癸亥,猪,0,乙丑,己亥,小寒,11:40:51,,,,二九第七天
1984,1,7,星期六,1983,腊月,初五,癸亥,猪,0,乙丑,庚子,,,,,,二九第八天
1984,1,8,星期日,1983,腊月,初六,癸亥,猪,0,乙丑,辛丑,,,,,,二九第九天
1984,1,9,星期一,1983,腊月,初七,癸亥,猪,0,乙丑,壬寅,,,,,,三九第一天
1984,1,10,星期二,1983,腊月,初八,癸亥,猪,0,乙丑,癸卯,,,,腊八节,,三九第二天
1984,1,11,星期三,1983,腊月,初九,癸亥,猪,0,乙丑,甲辰,,,,,,三九第三天
1984,1,12,星期四,1983,腊月,初十,癸亥,猪,0,乙丑,乙巳,,,,,,三九第四天
1984,1,13,星期五,1983,腊月,十一,癸亥,猪,0,乙丑,丙午,,,,,,三九第五天
1984,1,14,星期六,1983,腊月,十二,癸亥,猪,0,乙丑,丁未,,,,,,三九第六天
1984,1,15,星期日,1983,腊月,十三,癸亥,猪,0,乙丑,戊申,,,,,,三九第七天
1984,1,16,星期一,1983,腊月,十四,癸亥,猪,0,乙丑,己酉,,,,,,三九第八天
1984,1,17,星期二,1983,腊月,十五,癸亥,猪,0,乙丑,庚戌,,,,,,三九第九天
1984,1,18,星期三,1983,腊月,十六,癸亥,猪,0,乙丑,辛亥,,,,,,四九第一天
1984,1,19,星期四,1983,腊月,十七,癸亥,猪,0,乙丑,壬子,,,,,,四九第二天
1984,1,20,星期五,1983,腊月,十八,癸亥,猪,0,乙丑,癸丑,,,,,,四九第三天
1984,1,21,星期六,1983,腊月,十九,癸亥,猪,0,乙丑,甲寅,大寒,5:05:02,,,,四九第四天
1984,1,22,星期日,1983,腊月,二十,癸亥,猪,0,乙丑,乙卯,,,,,,四九第五天
1984,1,23,星期一,1983,腊月,廿一,癸亥,猪,0,乙丑,丙辰,,,,,,四九第六天
1984,1,24,星期二,1983,腊月,廿二,癸亥,猪,0,乙丑,丁巳,,,,,,四九第七天
