年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
1979,1,1,星期一,1978,腊月,初三,戊午,马,0,甲子,戊辰,,,元旦,,,二九第二天
1979,1,2,星期二,1978,腊月,初四,戊午,马,0,甲子,己巳,,,,,,二九第三天
1979,1,3,星期三,1978,腊月,初五,戊午,马,0,甲子,庚午,,,,,,二九第四天
1979,1,4,星期四,1978,腊月,初六,戊午,马,0,甲子,辛未,,,,,,二九第五天
1979,1,5,星期五,1978,腊月,初七,戊午,马,0,甲子,壬申,,,,,,二九第六天
1979,1,6,星期六,1978,腊月,初八,戊午,马,0,乙丑,癸酉,小寒,6:31:33,,腊八节,,二九第七天
1979,1,7,星期日,1978,腊月,初九,戊午,马,0,乙丑,甲戌,,,,,,二九第八天
1979,1,8,星期一,1978,腊月,初十,戊午,马,0,乙丑,乙亥,,,,,,二九第九天
1979,1,9,星期二,1978,腊月,十一,戊午,马,0,乙丑,丙子,,,,,,三九第一天
1979,1,10,星期三,1978,腊月,十二,戊午,马,0,乙丑,丁丑,,,,,,三九第二天
1979,1,11,星期四,1978,腊月,十三,戊午,马,0,乙丑,戊寅,,,,,,三九第三天
1979,1,12,星期五,1978,腊月,十四,戊午,马,0,乙丑,己卯,,,,,,三九第四天
1979,1,13,星期六,1978,腊月,十五,戊午,马,0,乙丑,庚辰,,,,,,三九第五天
1979,1,14,星期日,1978,腊月,十六,戊午,马,0,乙丑,辛巳,,,,,,三九第六天
1979,1,15,星期一,1978,腊月,十七,戊午,马,0,乙丑,壬午,,,,,,三九第七天
1979,1,16,星期二,1978,腊月,十八,戊午,马,0,乙丑,癸未,,,,,,三九第八天
1979,1,17,星期三,1978,腊月,十九,戊午,马,0,乙丑,甲申,,,,,,三九第九天
1979,1,18,星期四,1978,腊月,二十,戊午,马,0,乙丑,乙酉,,,,,,四九第一天
1979,1,19,星期五,1978,腊月,廿一,戊午,马,0,乙丑,丙戌,,,,,,四九第二天
1979,1,20,星期六,1978,腊月,廿二,戊午,马,0,乙丑,丁亥,大寒,23:59:56,,,,四九第三天
1979,1,21,星期日,1978,腊月,廿三,戊午,马,0,乙丑,戊子,,,,小年,,四九第四天
1979,1,22,星期一,1978,腊月,廿四,戊午,马,0,乙丑,己丑,,,,,,四九第五天
1979,1,23,星期二,1978,腊月,廿五,戊午,马,0,乙丑,庚寅,,,,,,四九第六天
1979,1,24,星期三,1978,腊月,廿六,戊午,马,0,乙丑,辛卯,,,,,,四九第七天
1979,1,25,星期四,1978,腊月,廿七,戊午,马,0,乙丑,壬辰,,,,,,四九第八天
1979,1,26,星期五,1978,腊月,廿八,戊午,马,0,乙丑,癸巳,,,,,,四九第九天
1979,1,27,星期六,1978,腊月,廿九,戊午,马,0,乙丑,甲午,,,,除夕,,五九第一天
1979,1,28,星期日,1979,正月,初一,戊午,马,0,乙丑,乙未,,,,春节,,五九第二天
1979,1,29,星期一,1979,正月,初二,戊午,马,0,乙丑,丙申,,,,,,五九第三天
1979,1,30,星期二,1979,正月,初三,戊午,马,0,乙丑,丁酉,,,,,,五九第四天
1979,1,31,星期三,1979,正月,初四,戊午,马,0,乙丑,戊戌,,,,,,五九第五天
1979,2,1,星期四,1979,正月,初五,戊午,马,0,乙丑,己亥,,,,,,五九第六天
1979,2,2,星期五,1979,正月,初六,戊午,马,0,乙丑,庚子,,,,,,五九第七天
1979,2,3,星期六,1979,正月,初七,戊午,马,0,乙丑,辛丑,,,,,,五九第八天
1979,2,4,星期日,1979,正月,初八,己未,羊,6,丙寅,壬寅,立春,18:12:18,,,,五九第九天
1979,2,5,星期一,1979,正月,初九,己未,羊,6,丙寅,癸卯,,,,,,六九第一天
1979,2,6,星期二,1979,正月,初十,己未,羊,6,丙寅,甲辰,,,,,,六九第二天
1979,2,7,星期三,1979,正月,十一,己未,羊,6,丙寅,乙巳,,,,,,六九第三天
1979,2,8,星期四,1979,正月,十二,己未,羊,6,丙寅,丙午,,,,,,六九第四天
1979,2,9,星期五,1979,正月,十三,己未,羊,6,丙寅,丁未,,,,,,六九第五天
1979,2,10,星期六,1979,正月,十四,己未,羊,6,丙寅,戊申,,,,,,六九第六天
1979,2,11,星期日,1979,正月,十五,己未,羊,6,丙寅,己酉,,,,元宵节,,六九第七天
1979,2,12,星期一,1979,正月,十六,己未,羊,6,丙寅,庚戌,,,,,,六九第八天
1979,2,13,星期二,1979,正月,十七,己未,羊,6,丙寅,辛亥,,,,,,六九第九天
1979,2,14,星期三,1979,正月,十八,己未,羊,6,丙寅,壬子,,,情人节,,,七九第一天
1979,2,15,星期四,1979,正月,十九,己未,羊,6,丙寅,癸丑,,,,,,七九第二天
1979,2,16,星期五,1979,正月,二十,己未,羊,6,丙寅,甲寅,,,,,,七九第三天
1979,2,17,星期六,1979,正月,廿一,己未,羊,6,丙寅,乙卯,,,,,,七九第四天
1979,2,18,星期日,1979,正月,廿二,己未,羊,6,丙寅,丙辰,,,,,,七九第五天
1979,2,19,星期一,1979,正月,廿三,己未,羊,6,丙寅,丁巳,雨水,14:13:13,,,,七九第六天
1979,2,20,星期二,1979,正月,廿四,己未,羊,6,丙寅,戊午,,,,,,七九第七天
1979,2,21,星期三,1979,正月,廿五,己未,羊,6,丙寅,己未,,,,,,七九第八天
1979,2,22,星期四,1979,正月,廿六,己未,羊,6,丙寅,庚申,,,,,,七九第九天
1979,2,23,星期五,1979,正月,廿七,己未,羊,6,丙寅,辛酉,,,,,,八九第一天
1979,2,24,星期六,1979,正月,廿八,己未,羊,6,丙寅,壬戌,,,,,,八九第二天
1979,2,25,星期日,1979,正月,廿九,己未,羊,6,丙寅,癸亥,,,,,,八九第三天
1979,2,26,星期一,1979,正月,三十,己未,羊,6,丙寅,甲子,,,,,,八九第四天
1979,2,27,星期二,1979,二月,初一,己未,羊,6,丙寅,乙丑,,,,,,八九第五天
1979,2,28,星期三,1979,二月,初二,己未,羊,6,丙寅,丙寅,,,,龙抬头,,八九第六天
1979,3,1,星期四,1979,二月,初三,己未,羊,6,丙寅,丁卯,,,,,,八九第七天
1979,3,2,星期五,1979,二月,初四,己未,羊,6,丙寅,戊辰,,,,,,八九第八天
1979,3,3,星期六,1979,二月,初五,己未,羊,6,丙寅,己巳,,,,,,八九第九天
1979,3,4,星期日,1979,二月,初六,己未,羊,6,丙寅,庚午,,,,,,九九第一天
1979,3,5,星期一,1979,二月,初七,己未,羊,6,丙寅,辛未,,,,,,九九第二天
1979,3,6,星期二,1979,二月,初八,己未,羊,6,丁卯,壬申,惊蛰,12:19:38,,,,九九第三天
1979,3,7,星期三,1979,二月,初九,己未,羊,6,丁卯,癸酉,,,,,,九九第四天
1979,3,8,星期四,1979,二月,初十,己未,羊,6,丁卯,甲戌,,,妇女节,,,九九第五天
1979,3,9,星期五,1979,二月,十一,己未,羊,6,丁卯,乙亥,,,,,,九九第六天
1979,3,10,星期六,1979,二月,十二,己未,羊,6,丁卯,丙子,,,,,,九九第七天
1979,3,11,星期日,1979,二月,十三,己未,羊,6,丁卯,丁丑,,,,,,九九第八天
1979,3,12,星期一,1979,二月,十四,己未,羊,6,丁卯,戊寅,,,植树节,,,九九第九天
1979,3,13,星期二,1979,二月,十五,己未,羊,6,丁卯,己卯,,,,,,
1979,3,14,星期三,1979,二月,十六,己未,羊,6,丁卯,庚辰,,,,,,
1979,3,15,星期四,1979,二月,十七,己未,羊,6,丁卯,辛巳,,,,,,
1979,3,16,星期五,1979,二月,十八,己未,羊,6,丁卯,壬午,,,,,,
1979,3,17,星期六,1979,二月,十九,己未,羊,6,丁卯,癸未,,,,,,
1979,3,18,星期日,1979,二月,二十,己未,羊,6,丁卯,甲申,,,,,,
1979,3,19,星期一,1979,二月,廿一,己未,羊,6,丁卯,乙酉,,,,,,
1979,3,20,星期二,1979,二月,廿二,己未,羊,6,丁卯,丙戌,,,,,,
1979,3,21,星期三,1979,二月,廿三,己未,羊,6,丁卯,丁亥,春分,13:21:55,,,,
1979,3,22,星期四,1979,二月,廿四,己未,羊,6,丁卯,戊子,,,,,,
1979,3,23,星期五,1979,二月,廿五,己未,羊,6,丁卯,己丑,,,,,,
1979,3,24,星期六,1979,二月,廿六,己未,羊,6,丁卯,庚寅,,,,,,
1979,3,25,星期日,1979,二月,廿七,己未,羊,6,丁卯,辛卯,,,,,,
1979,3,26,星期一,1979,二月,廿八,己未,羊,6,丁卯,壬辰,,,,,,
1979,3,27,星期二,1979,二月,廿九,己未,羊,6,丁卯,癸巳,,,,,,
1979,3,28,星期三,1979,三月,初一,己未,羊,6,丁卯,甲午,,,,,,
1979,3,29,星期四,1979,三月,初二,己未,羊,6,丁卯,乙未,,,,,,
1979,3,30,星期五,1979,三月,初三,己未,羊,6,丁卯,丙申,,,,,,
1979,3,31,星期六,1979,三月,初四,己未,羊,6,丁卯,丁酉,,,,,,
1979,4,1,星期日,1979,三月,初五,己未,羊,6,丁卯,戊戌,,,愚人节,,,
1979,4,2,星期一,1979,三月,初六,己未,羊,6,丁卯,己亥,,,,,,
1979,4,3,星期二,1979,三月,初七,己未,羊,6,丁卯,庚子,,,,,,
1979,4,4,星期三,1979,三月,初八,己未,羊,6,丁卯,辛丑,,,,,,
1979,4,5,星期四,1979,三月,初九,己未,羊,6,戊辰,壬寅,清明,17:17:57,,,,
1979,4,6,星期五,1979,三月,初十,己未,羊,6,戊辰,癸卯,,,,,,
1979,4,7,星期六,1979,三月,十一,己未,羊,6,戊辰,甲辰,,,,,,
1979,4,8,星期日,1979,三月,十二,己未,羊,6,戊辰,乙巳,,,,,,
1979,4,9,星期一,1979,三月,十三,己未,羊,6,戊辰,丙午,,,,,,
1979,4,10,星期二,1979,三月,十四,己未,羊,6,戊辰,丁未,,,,,,
1979,4,11,星期三,1979,三月,十五,己未,羊,6,戊辰,戊申,,,,,,
1979,4,12,星期四,1979,三月,十六,己未,羊,6,戊辰,己酉,,,,,,
1979,4,13,星期五,1979,三月,十七,己未,羊,6,戊辰,庚戌,,,,,,
1979,4,14,星期六,1979,三月,十八,己未,羊,6,戊辰,辛亥,,,,,,
1979,4,15,星期日,1979,三月,十九,己未,羊,6,戊辰,壬子,,,,,,
1979,4,16,星期一,1979,三月,二十,己未,羊,6,戊辰,癸丑,,,,,,
1979,4,17,星期二,1979,三月,廿一,己未,羊,6,戊辰,甲寅,,,,,,
1979,4,18,星期三,1979,三月,廿二,己未,羊,6,戊辰,乙卯,,,,,,
1979,4,19,星期四,1979,三月,廿三,己未,羊,6,戊辰,丙辰,,,,,,
1979,4,20,星期五,1979,三月,廿四,己未,羊,6,戊辰,丁巳,,,,,,
