年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2000,1,1,星期六,1999,冬月,廿五,己卯,兔,0,丙子,戊午,,,元旦,,,二九第二天
2000,1,2,星期日,1999,冬月,廿六,己卯,兔,0,丙子,己未,,,,,,二九第三天
2000,1,3,星期一,1999,冬月,廿七,己卯,兔,0,丙子,庚申,,,,,,二九第四天
2000,1,4,星期二,1999,冬月,廿八,己卯,兔,0,丙子,辛酉,,,,,,二九第五天
2000,1,5,星期三,1999,冬月,廿九,己卯,兔,0,丙子,壬戌,,,,,,二九第六天
2000,1,6,星期四,1999,冬月,三十,己卯,兔,0,丁丑,癸亥,小寒,9:00:42,,,,二九第七天
2000,1,7,星期五,1999,腊月,初一,己卯,兔,0,丁丑,甲子,,,,,,二九第八天
2000,1,8,星期六,1999,腊月,初二,己卯,兔,0,丁丑,乙丑,,,,,,二九第九天
2000,1,9,星期日,1999,腊月,初三,己卯,兔,0,丁丑,丙寅,,,,,,三九第一天
2000,1,10,星期一,1999,腊月,初四,己卯,兔,0,丁丑,丁卯,,,,,,三九第二天
2000,1,11,星期二,1999,腊月,初五,己卯,兔,0,丁丑,戊辰,,,,,,三九第三天
2000,1,12,星期三,1999,腊月,初六,己卯,兔,0,丁丑,己巳,,,,,,三九第四天
2000,1,13,星期四,1999,腊月,初七,己卯,兔,0,丁丑,庚午,,,,,,三九第五天
2000,1,14,星期五,1999,腊月,初八,己卯,兔,0,丁丑,辛未,,,,腊八节,,三九第六天
2000,1,15,星期六,1999,腊月,初九,己卯,兔,0,丁丑,壬申,,,,,,三九第七天
2000,1,16,星期日,1999,腊月,初十,己卯,兔,0,丁丑,癸酉,,,,,,三九第八天
2000,1,17,星期一,1999,腊月,十一,己卯,兔,0,丁丑,甲戌,,,,,,三九第九天
2000,1,18,星期二,1999,腊月,十二,己卯,兔,0,丁丑,乙亥,,,,,,四九第一天
2000,1,19,星期三,1999,腊月,十三,己卯,兔,0,丁丑,丙子,,,,,,四九第二天
2000,1,20,星期四,1999,腊月,十四,己卯,兔,0,丁丑,丁丑,,,,,,四九第三天
2000,1,21,星期五,1999,腊月,十五,己卯,兔,0,丁丑,戊寅,大寒,2:23:03,,,,四九第四天
2000,1,22,星期六,1999,腊月,十六,己卯,兔,0,丁丑,己卯,,,,,,四九第五天
2000,1,23,星期日,1999,腊月,十七,己卯,兔,0,丁丑,庚辰,,,,,,四九第六天
2000,1,24,星期一,1999,腊月,十八,己卯,兔,0,丁丑,辛巳,,,,,,四九第七天
2000,1,25,星期二,1999,腊月,十九,己卯,兔,0,丁丑,壬午,,,,,,四九第八天
2000,1,26,星期三,1999,腊月,二十,己卯,兔,0,丁丑,癸未,,,,,,四九第九天
2000,1,27,星期四,1999,腊月,廿一,己卯,兔,0,丁丑,甲申,,,,,,五九第一天
2000,1,28,星期五,1999,腊月,廿二,己卯,兔,0,丁丑,乙酉,,,,,,五九第二天
2000,1,29,星期六,1999,腊月,廿三,己卯,兔,0,丁丑,丙戌,,,,小年,,五九第三天
2000,1,30,星期日,1999,腊月,廿四,己卯,兔,0,丁丑,丁亥,,,,,,五九第四天
2000,1,31,星期一,1999,腊月,廿五,己卯,兔,0,丁丑,戊子,,,,,,五九第五天
2000,2,1,星期二,1999,腊月,廿六,己卯,兔,0,丁丑,己丑,,,,,,五九第六天
2000,2,2,星期三,1999,腊月,廿七,己卯,兔,0,丁丑,庚寅,,,,,,五九第七天
2000,2,3,星期四,1999,腊月,廿八,己卯,兔,0,丁丑,辛卯,,,,,,五九第八天
2000,2,4,星期五,1999,腊月,廿九,庚辰,龙,0,戊寅,壬辰,立春,20:40:24,,除夕,,五九第九天
2000,2,5,星期六,2000,正月,初一,庚辰,龙,0,戊寅,癸巳,,,,春节,,六九第一天
2000,2,6,星期日,2000,正月,初二,庚辰,龙,0,戊寅,甲午,,,,,,六九第二天
2000,2,7,星期一,2000,正月,初三,庚辰,龙,0,戊寅,乙未,,,,,,六九第三天
2000,2,8,星期二,2000,正月,初四,庚辰,龙,0,戊寅,丙申,,,,,,六九第四天
2000,2,9,星期三,2000,正月,初五,庚辰,龙,0,戊寅,丁酉,,,,,,六九第五天
2000,2,10,星期四,2000,正月,初六,庚辰,龙,0,戊寅,戊戌,,,,,,六九第六天
2000,2,11,星期五,2000,正月,初七,庚辰,龙,0,戊寅,己亥,,,,,,六九第七天
2000,2,12,星期六,2000,正月,初八,庚辰,龙,0,戊寅,庚子,,,,,,六九第八天
2000,2,13,星期日,2000,正月,初九,庚辰,龙,0,戊寅,辛丑,,,,,,六九第九天
2000,2,14,星期一,2000,正月,初十,庚辰,龙,0,戊寅,壬寅,,,情人节,,,七九第一天
2000,2,15,星期二,2000,正月,十一,庚辰,龙,0,戊寅,癸卯,,,,,,七九第二天
2000,2,16,星期三,2000,正月,十二,庚辰,龙,0,戊寅,甲辰,,,,,,七九第三天
2000,2,17,星期四,2000,正月,十三,庚辰,龙,0,戊寅,乙巳,,,,,,七九第四天
2000,2,18,星期五,2000,正月,十四,庚辰,龙,0,戊寅,丙午,,,,,,七九第五天
2000,2,19,星期六,2000,正月,十五,庚辰,龙,0,戊寅,丁未,雨水,16:33:18,,元宵节,,七九第六天
2000,2,20,星期日,2000,正月,十六,庚辰,龙,0,戊寅,戊申,,,,,,七九第七天
2000,2,21,星期一,2000,正月,十七,庚辰,龙,0,戊寅,己酉,,,,,,七九第八天
2000,2,22,星期二,2000,正月,十八,庚辰,龙,0,戊寅,庚戌,,,,,,七九第九天
2000,2,23,星期三,2000,正月,十九,庚辰,龙,0,戊寅,辛亥,,,,,,八九第一天
2000,2,24,星期四,2000,正月,二十,庚辰,龙,0,戊寅,壬子,,,,,,八九第二天
2000,2,25,星期五,2000,正月,廿一,庚辰,龙,0,戊寅,癸丑,,,,,,八九第三天
2000,2,26,星期六,2000,正月,廿二,庚辰,龙,0,戊寅,甲寅,,,,,,八九第四天
2000,2,27,星期日,2000,正月,廿三,庚辰,龙,0,戊寅,乙卯,,,,,,八九第五天
2000,2,28,星期一,2000,正月,廿四,庚辰,龙,0,戊寅,丙辰,,,,,,八九第六天
2000,2,29,星期二,2000,正月,廿五,庚辰,龙,0,戊寅,丁巳,,,,,,八九第七天
2000,3,1,星期三,2000,正月,廿六,庚辰,龙,0,戊寅,戊午,,,,,,八九第八天
2000,3,2,星期四,2000,正月,廿七,庚辰,龙,0,戊寅,己未,,,,,,八九第九天
2000,3,3,星期五,2000,正月,廿八,庚辰,龙,0,戊寅,庚申,,,,,,九九第一天
2000,3,4,星期六,2000,正月,廿九,庚辰,龙,0,戊寅,辛酉,,,,,,九九第二天
2000,3,5,星期日,2000,正月,三十,庚辰,龙,0,己卯,壬戌,惊蛰,14:42:40,,,,九九第三天
