年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2087,1,1,星期三,2086,冬月,廿七,丙午,马,0,庚子,乙未,,,元旦,,,二九第三天
2087,1,2,星期四,2086,冬月,廿八,丙午,马,0,庚子,丙申,,,,,,二九第四天
2087,1,3,星期五,2086,冬月,廿九,丙午,马,0,庚子,丁酉,,,,,,二九第五天
2087,1,4,星期六,2086,冬月,三十,丙午,马,0,庚子,戊戌,,,,,,二九第六天
2087,1,5,星期日,2086,腊月,初一,丙午,马,0,辛丑,己亥,小寒,11:41:58,,,,二九第七天
2087,1,6,星期一,2086,腊月,初二,丙午,马,0,辛丑,庚子,,,,,,二九第八天
2087,1,7,星期二,2086,腊月,初三,丙午,马,0,辛丑,辛丑,,,,,,二九第九天
2087,1,8,星期三,2086,腊月,初四,丙午,马,0,辛丑,壬寅,,,,,,三九第一天
2087,1,9,星期四,2086,腊月,初五,丙午,马,0,辛丑,癸卯,,,,,,三九第二天
2087,1,10,星期五,2086,腊月,初六,丙午,马,0,辛丑,甲辰,,,,,,三九第三天
2087,1,11,星期六,2086,腊月,初七,丙午,马,0,辛丑,乙巳,,,,,,三九第四天
2087,1,12,星期日,2086,腊月,初八,丙午,马,0,辛丑,丙午,,,,腊八节,,三九第五天
2087,1,13,星期一,2086,腊月,初九,丙午,马,0,辛丑,丁未,,,,,,三九第六天
2087,1,14,星期二,2086,腊月,初十,丙午,马,0,辛丑,戊申,,,,,,三九第七天
2087,1,15,星期三,2086,腊月,十一,丙午,马,0,辛丑,己酉,,,,,,三九第八天
2087,1,16,星期四,2086,腊月,十二,丙午,马,0,辛丑,庚戌,,,,,,三九第九天
2087,1,17,星期五,2086,腊月,十三,丙午,马,0,辛丑,辛亥,,,,,,四九第一天
2087,1,18,星期六,2086,腊月,十四,丙午,马,0,辛丑,壬子,,,,,,四九第二天
2087,1,19,星期日,2086,腊月,十五,丙午,马,0,辛丑,癸丑,,,,,,四九第三天
2087,1,20,星期一,2086,腊月,十六,丙午,马,0,辛丑,甲寅,大寒,5:04:38,,,,四九第四天
2087,1,21,星期二,2086,腊月,十七,丙午,马,0,辛丑,乙卯,,,,,,四九第五天
2087,1,22,星期三,2086,腊月,十八,丙午,马,0,辛丑,丙辰,,,,,,四九第六天
2087,1,23,星期四,2086,腊月,十九,丙午,马,0,辛丑,丁巳,,,,,,四九第七天
2087,1,24,星期五,2086,腊月,二十,丙午,马,0,辛丑,戊午,,,,,,四九第八天
2087,1,25,星期六,2086,腊月,廿一,丙午,马,0,辛丑,己未,,,,,,四九第九天
2087,1,26,星期日,2086,腊月,廿二,丙午,马,0,辛丑,庚申,,,,,,五九第一天
2087,1,27,星期一,2086,腊月,廿三,丙午,马,0,辛丑,辛酉,,,,小年,,五九第二天
2087,1,28,星期二,2086,腊月,廿四,丙午,马,0,辛丑,壬戌,,,,,,五九第三天
2087,1,29,星期三,2086,腊月,廿五,丙午,马,0,辛丑,癸亥,,,,,,五九第四天
2087,1,30,星期四,2086,腊月,廿六,丙午,马,0,辛丑,甲子,,,,,,五九第五天
2087,1,31,星期五,2086,腊月,廿七,丙午,马,0,辛丑,乙丑,,,,,,五九第六天
2087,2,1,星期六,2086,腊月,廿八,丙午,马,0,辛丑,丙寅,,,,,,五九第七天
2087,2,2,星期日,2086,腊月,廿九,丙午,马,0,辛丑,丁卯,,,,除夕,,五九第八天
2087,2,3,星期一,2087,正月,初一,丁未,羊,0,壬寅,戊辰,立春,23:14:34,,春节,,五九第九天
2087,2,4,星期二,2087,正月,初二,丁未,羊,0,壬寅,己巳,,,,,,六九第一天
2087,2,5,星期三,2087,正月,初三,丁未,羊,0,壬寅,庚午,,,,,,六九第二天
2087,2,6,星期四,2087,正月,初四,丁未,羊,0,壬寅,辛未,,,,,,六九第三天
2087,2,7,星期五,2087,正月,初五,丁未,羊,0,壬寅,壬申,,,,,,六九第四天
2087,2,8,星期六,2087,正月,初六,丁未,羊,0,壬寅,癸酉,,,,,,六九第五天
2087,2,9,星期日,2087,正月,初七,丁未,羊,0,壬寅,甲戌,,,,,,六九第六天
2087,2,10,星期一,2087,正月,初八,丁未,羊,0,壬寅,乙亥,,,,,,六九第七天
2087,2,11,星期二,2087,正月,初九,丁未,羊,0,壬寅,丙子,,,,,,六九第八天
