年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2012,1,1,星期日,2011,腊月,初八,辛卯,兔,0,庚子,辛酉,,,元旦,腊八节,,二九第二天
2012,1,2,星期一,2011,腊月,初九,辛卯,兔,0,庚子,壬戌,,,,,,二九第三天
2012,1,3,星期二,2011,腊月,初十,辛卯,兔,0,庚子,癸亥,,,,,,二九第四天
2012,1,4,星期三,2011,腊月,十一,辛卯,兔,0,庚子,甲子,,,,,,二九第五天
2012,1,5,星期四,2011,腊月,十二,辛卯,兔,0,庚子,乙丑,,,,,,二九第六天
2012,1,6,星期五,2011,腊月,十三,辛卯,兔,0,辛丑,丙寅,小寒,6:43:54,,,,二九第七天
2012,1,7,星期六,2011,腊月,十四,辛卯,兔,0,辛丑,丁卯,,,,,,二九第八天
2012,1,8,星期日,2011,腊月,十五,辛卯,兔,0,辛丑,戊辰,,,,,,二九第九天
2012,1,9,星期一,2011,腊月,十六,辛卯,兔,0,辛丑,己巳,,,,,,三九第一天
2012,1,10,星期二,2011,腊月,十七,辛卯,兔,0,辛丑,庚午,,,,,,三九第二天
2012,1,11,星期三,2011,腊月,十八,辛卯,兔,0,辛丑,辛未,,,,,,三九第三天
2012,1,12,星期四,2011,腊月,十九,辛卯,兔,0,辛丑,壬申,,,,,,三九第四天
2012,1,13,星期五,2011,腊月,二十,辛卯,兔,0,辛丑,癸酉,,,,,,三九第五天
2012,1,14,星期六,2011,腊月,廿一,辛卯,兔,0,辛丑,甲戌,,,,,,三九第六天
2012,1,15,星期日,2011,腊月,廿二,辛卯,兔,0,辛丑,乙亥,,,,,,三九第七天
2012,1,16,星期一,2011,腊月,廿三,辛卯,兔,0,辛丑,丙子,,,,小年,,三九第八天
2012,1,17,星期二,2011,腊月,廿四,辛卯,兔,0,辛丑,丁丑,,,,,,三九第九天
2012,1,18,星期三,2011,腊月,廿五,辛卯,兔,0,辛丑,戊寅,,,,,,四九第一天
2012,1,19,星期四,2011,腊月,廿六,辛卯,兔,0,辛丑,己卯,,,,,,四九第二天
2012,1,20,星期五,2011,腊月,廿七,辛卯,兔,0,辛丑,庚辰,,,,,,四九第三天
2012,1,21,星期六,2011,腊月,廿八,辛卯,兔,0,辛丑,辛巳,大寒,0:09:49,,,,四九第四天
2012,1,22,星期日,2011,腊月,廿九,辛卯,兔,0,辛丑,壬午,,,,除夕,,四九第五天
2012,1,23,星期一,2012,正月,初一,辛卯,兔,0,辛丑,癸未,,,,春节,,四九第六天
2012,1,24,星期二,2012,正月,初二,辛卯,兔,0,辛丑,甲申,,,,,,四九第七天
2012,1,25,星期三,2012,正月,初三,辛卯,兔,0,辛丑,乙酉,,,,,,四九第八天
2012,1,26,星期四,2012,正月,初四,辛卯,兔,0,辛丑,丙戌,,,,,,四九第九天
2012,1,27,星期五,2012,正月,初五,辛卯,兔,0,辛丑,丁亥,,,,,,五九第一天
2012,1,28,星期六,2012,正月,初六,辛卯,兔,0,辛丑,戊子,,,,,,五九第二天
2012,1,29,星期日,2012,正月,初七,辛卯,兔,0,辛丑,己丑,,,,,,五九第三天
2012,1,30,星期一,2012,正月,初八,辛卯,兔,0,辛丑,庚寅,,,,,,五九第四天
2012,1,31,星期二,2012,正月,初九,辛卯,兔,0,辛丑,辛卯,,,,,,五九第五天
2012,2,1,星期三,2012,正月,初十,辛卯,兔,0,辛丑,壬辰,,,,,,五九第六天
2012,2,2,星期四,2012,正月,十一,辛卯,兔,0,辛丑,癸巳,,,,,,五九第七天
2012,2,3,星期五,2012,正月,十二,辛卯,兔,0,辛丑,甲午,,,,,,五九第八天
2012,2,4,星期六,2012,正月,十三,壬辰,龙,4,壬寅,乙未,立春,18:22:23,,,,五九第九天
2012,2,5,星期日,2012,正月,十四,壬辰,龙,4,壬寅,丙申,,,,,,六九第一天
2012,2,6,星期一,2012,正月,十五,壬辰,龙,4,壬寅,丁酉,,,,元宵节,,六九第二天
2012,2,7,星期二,2012,正月,十六,壬辰,龙,4,壬寅,戊戌,,,,,,六九第三天
2012,2,8,星期三,2012,正月,十七,壬辰,龙,4,壬寅,己亥,,,,,,六九第四天
2012,2,9,星期四,2012,正月,十八,壬辰,龙,4,壬寅,庚子,,,,,,六九第五天
2012,2,10,星期五,2012,正月,十九,壬辰,龙,4,壬寅,辛丑,,,,,,六九第六天
2012,2,11,星期六,2012,正月,二十,壬辰,龙,4,壬寅,壬寅,,,,,,六九第七天
2012,2,12,星期日,2012,正月,廿一,壬辰,龙,4,壬寅,癸卯,,,,,,六九第八天
2012,2,13,星期一,2012,正月,廿二,壬辰,龙,4,壬寅,甲辰,,,,,,六九第九天
2012,2,14,星期二,2012,正月,廿三,壬辰,龙,4,壬寅,乙巳,,,情人节,,,七九第一天
2012,2,15,星期三,2012,正月,廿四,壬辰,龙,4,壬寅,丙午,,,,,,七九第二天
2012,2,16,星期四,2012,正月,廿五,壬辰,龙,4,壬寅,丁未,,,,,,七九第三天
2012,2,17,星期五,2012,正月,廿六,壬辰,龙,4,壬寅,戊申,,,,,,七九第四天
2012,2,18,星期六,2012,正月,廿七,壬辰,龙,4,壬寅,己酉,,,,,,七九第五天
2012,2,19,星期日,2012,正月,廿八,壬辰,龙,4,壬寅,庚戌,雨水,14:17:35,,,,七九第六天
2012,2,20,星期一,2012,正月,廿九,壬辰,龙,4,壬寅,辛亥,,,,,,七九第七天
2012,2,21,星期二,2012,正月,三十,壬辰,龙,4,壬寅,壬子,,,,,,七九第八天
2012,2,22,星期三,2012,二月,初一,壬辰,龙,4,壬寅,癸丑,,,,,,七九第九天
2012,2,23,星期四,2012,二月,初二,壬辰,龙,4,壬寅,甲寅,,,,龙抬头,,八九第一天
2012,2,24,星期五,2012,二月,初三,壬辰,龙,4,壬寅,乙卯,,,,,,八九第二天
2012,2,25,星期六,2012,二月,初四,壬辰,龙,4,壬寅,丙辰,,,,,,八九第三天
2012,2,26,星期日,2012,二月,初五,壬辰,龙,4,壬寅,丁巳,,,,,,八九第四天
2012,2,27,星期一,2012,二月,初六,壬辰,龙,4,壬寅,戊午,,,,,,八九第五天
2012,2,28,星期二,2012,二月,初七,壬辰,龙,4,壬寅,己未,,,,,,八九第六天
2012,2,29,星期三,2012,二月,初八,壬辰,龙,4,壬寅,庚申,,,,,,八九第七天
2012,3,1,星期四,2012,二月,初九,壬辰,龙,4,壬寅,辛酉,,,,,,八九第八天
2012,3,2,星期五,2012,二月,初十,壬辰,龙,4,壬寅,壬戌,,,,,,八九第九天
2012,3,3,星期六,2012,二月,十一,壬辰,龙,4,壬寅,癸亥,,,,,,九九第一天
2012,3,4,星期日,2012,二月,十二,壬辰,龙,4,壬寅,甲子,,,,,,九九第二天
2012,3,5,星期一,2012,二月,十三,壬辰,龙,4,癸卯,乙丑,惊蛰,12:21:02,,,,九九第三天
