年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
1991,1,1,星期二,1990,冬月,十六,庚午,马,5,戊子,辛未,,,元旦,,,二九第二天
1991,1,2,星期三,1990,冬月,十七,庚午,马,5,戊子,壬申,,,,,,二九第三天
1991,1,3,星期四,1990,冬月,十八,庚午,马,5,戊子,癸酉,,,,,,二九第四天
1991,1,4,星期五,1990,冬月,十九,庚午,马,5,戊子,甲戌,,,,,,二九第五天
1991,1,5,星期六,1990,冬月,二十,庚午,马,5,戊子,乙亥,,,,,,二九第六天
1991,1,6,星期日,1990,冬月,廿一,庚午,马,5,己丑,丙子,小寒,4:28:07,,,,二九第七天
1991,1,7,星期一,1990,冬月,廿二,庚午,马,5,己丑,丁丑,,,,,,二九第八天
1991,1,8,星期二,1990,冬月,廿三,庚午,马,5,己丑,戊寅,,,,,,二九第九天
1991,1,9,星期三,1990,冬月,廿四,庚午,马,5,己丑,己卯,,,,,,三九第一天
1991,1,10,星期四,1990,冬月,廿五,庚午,马,5,己丑,庚辰,,,,,,三九第二天
1991,1,11,星期五,1990,冬月,廿六,庚午,马,5,己丑,辛巳,,,,,,三九第三天
1991,1,12,星期六,1990,冬月,廿七,庚午,马,5,己丑,壬午,,,,,,三九第四天
1991,1,13,星期日,1990,冬月,廿八,庚午,马,5,己丑,癸未,,,,,,三九第五天
1991,1,14,星期一,1990,冬月,廿九,庚午,马,5,己丑,甲申,,,,,,三九第六天
1991,1,15,星期二,1990,冬月,三十,庚午,马,5,己丑,乙酉,,,,,,三九第七天
1991,1,16,星期三,1990,腊月,初一,庚午,马,5,己丑,丙戌,,,,,,三九第八天
1991,1,17,星期四,1990,腊月,初二,庚午,马,5,己丑,丁亥,,,,,,三九第九天
1991,1,18,星期五,1990,腊月,初三,庚午,马,5,己丑,戊子,,,,,,四九第一天
1991,1,19,星期六,1990,腊月,初四,庚午,马,5,己丑,己丑,,,,,,四九第二天
1991,1,20,星期日,1990,腊月,初五,庚午,马,5,己丑,庚寅,大寒,21:47:05,,,,四九第三天
1991,1,21,星期一,1990,腊月,初六,庚午,马,5,己丑,辛卯,,,,,,四九第四天
1991,1,22,星期二,1990,腊月,初七,庚午,马,5,己丑,壬辰,,,,,,四九第五天
1991,1,23,星期三,1990,腊月,初八,庚午,马,5,己丑,癸巳,,,,腊八节,,四九第六天
1991,1,24,星期四,1990,腊月,初九,庚午,马,5,己丑,甲午,,,,,,四九第七天
1991,1,25,星期五,1990,腊月,初十,庚午,马,5,己丑,乙未,,,,,,四九第八天
1991,1,26,星期六,1990,腊月,十一,庚午,马,5,己丑,丙申,,,,,,四九第九天
1991,1,27,星期日,1990,腊月,十二,庚午,马,5,己丑,丁酉,,,,,,五九第一天
1991,1,28,星期一,1990,腊月,十三,庚午,马,5,己丑,戊戌,,,,,,五九第二天
1991,1,29,星期二,1990,腊月,十四,庚午,马,5,己丑,己亥,,,,,,五九第三天
1991,1,30,星期三,1990,腊月,十五,庚午,马,5,己丑,庚子,,,,,,五九第四天
1991,1,31,星期四,1990,腊月,十六,庚午,马,5,己丑,辛丑,,,,,,五九第五天
1991,2,1,星期五,1990,腊月,十七,庚午,马,5,己丑,壬寅,,,,,,五九第六天
1991,2,2,星期六,1990,腊月,十八,庚午,马,5,己丑,癸卯,,,,,,五九第七天
1991,2,3,星期日,1990,腊月,十九,庚午,马,5,己丑,甲辰,,,,,,五九第八天
1991,2,4,星期一,1990,腊月,二十,辛未,羊,0,庚寅,乙巳,立春,16:08:24,,,,五九第九天
1991,2,5,星期二,1990,腊月,廿一,辛未,羊,0,庚寅,丙午,,,,,,六九第一天
1991,2,6,星期三,1990,腊月,廿二,辛未,羊,0,庚寅,丁未,,,,,,六九第二天
1991,2,7,星期四,1990,腊月,廿三,辛未,羊,0,庚寅,戊申,,,,小年,,六九第三天
1991,2,8,星期五,1990,腊月,廿四,辛未,羊,0,庚寅,己酉,,,,,,六九第四天
1991,2,9,星期六,1990,腊月,廿五,辛未,羊,0,庚寅,庚戌,,,,,,六九第五天
1991,2,10,星期日,1990,腊月,廿六,辛未,羊,0,庚寅,辛亥,,,,,,六九第六天
1991,2,11,星期一,1990,腊月,廿七,辛未,羊,0,庚寅,壬子,,,,,,六九第七天
1991,2,12,星期二,1990,腊月,廿八,辛未,羊,0,庚寅,癸丑,,,,,,六九第八天
1991,2,13,星期三,1990,腊月,廿九,辛未,羊,0,庚寅,甲寅,,,,,,六九第九天
1991,2,14,星期四,1990,腊月,三十,辛未,羊,0,庚寅,乙卯,,,情人节,除夕,,七九第一天
1991,2,15,星期五,1991,正月,初一,辛未,羊,0,庚寅,丙辰,,,,春节,,七九第二天
1991,2,16,星期六,1991,正月,初二,辛未,羊,0,庚寅,丁巳,,,,,,七九第三天
1991,2,17,星期日,1991,正月,初三,辛未,羊,0,庚寅,戊午,,,,,,七九第四天
1991,2,18,星期一,1991,正月,初四,辛未,羊,0,庚寅,己未,,,,,,七九第五天
1991,2,19,星期二,1991,正月,初五,辛未,羊,0,庚寅,庚申,雨水,11:58:20,,,,七九第六天
1991,2,20,星期三,1991,正月,初六,辛未,羊,0,庚寅,辛酉,,,,,,七九第七天
1991,2,21,星期四,1991,正月,初七,辛未,羊,0,庚寅,壬戌,,,,,,七九第八天
1991,2,22,星期五,1991,正月,初八,辛未,羊,0,庚寅,癸亥,,,,,,七九第九天
1991,2,23,星期六,1991,正月,初九,辛未,羊,0,庚寅,甲子,,,,,,八九第一天
1991,2,24,星期日,1991,正月,初十,辛未,羊,0,庚寅,乙丑,,,,,,八九第二天
1991,2,25,星期一,1991,正月,十一,辛未,羊,0,庚寅,丙寅,,,,,,八九第三天
