年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2014,1,1,星期三,2013,腊月,初一,癸巳,蛇,0,甲子,壬申,,,元旦,,,二九第二天
2014,1,2,星期四,2013,腊月,初二,癸巳,蛇,0,甲子,癸酉,,,,,,二九第三天
2014,1,3,星期五,2013,腊月,初三,癸巳,蛇,0,甲子,甲戌,,,,,,二九第四天
2014,1,4,星期六,2013,腊月,初四,癸巳,蛇,0,甲子,乙亥,,,,,,二九第五天
2014,1,5,星期日,2013,腊月,初五,癸巳,蛇,0,乙丑,丙子,小寒,18:24:10,,,,二九第六天
2014,1,6,星期一,2013,腊月,初六,癸巳,蛇,0,乙丑,丁丑,,,,,,二九第七天
2014,1,7,星期二,2013,腊月,初七,癸巳,蛇,0,乙丑,戊寅,,,,,,二九第八天
2014,1,8,星期三,2013,腊月,初八,癸巳,蛇,0,乙丑,己卯,,,,腊八节,,二九第九天
2014,1,9,星期四,2013,腊月,初九,癸巳,蛇,0,乙丑,庚辰,,,,,,三九第一天
2014,1,10,星期五,2013,腊月,初十,癸巳,蛇,0,乙丑,辛巳,,,,,,三九第二天
2014,1,11,星期六,2013,腊月,十一,癸巳,蛇,0,乙丑,壬午,,,,,,三九第三天
2014,1,12,星期日,2013,腊月,十二,癸巳,蛇,0,乙丑,癸未,,,,,,三九第四天
2014,1,13,星期一,2013,腊月,十三,癸巳,蛇,0,乙丑,甲申,,,,,,三九第五天
2014,1,14,星期二,2013,腊月,十四,癸巳,蛇,0,乙丑,乙酉,,,,,,三九第六天
2014,1,15,星期三,2013,腊月,十五,癸巳,蛇,0,乙丑,丙戌,,,,,,三九第七天
2014,1,16,星期四,2013,腊月,十六,癸巳,蛇,0,乙丑,丁亥,,,,,,三九第八天
2014,1,17,星期五,2013,腊月,十七,癸巳,蛇,0,乙丑,戊子,,,,,,三九第九天
2014,1,18,星期六,2013,腊月,十八,癸巳,蛇,0,乙丑,己丑,,,,,,四九第一天
2014,1,19,星期日,2013,腊月,十九,癸巳,蛇,0,乙丑,庚寅,,,,,,四九第二天
2014,1,20,星期一,2013,腊月,二十,癸巳,蛇,0,乙丑,辛卯,大寒,11:51:14,,,,四九第三天
2014,1,21,星期二,2013,腊月,廿一,癸巳,蛇,0,乙丑,壬辰,,,,,,四九第四天
2014,1,22,星期三,2013,腊月,廿二,癸巳,蛇,0,乙丑,癸巳,,,,,,四九第五天
2014,1,23,星期四,2013,腊月,廿三,癸巳,蛇,0,乙丑,甲午,,,,小年,,四九第六天
2014,1,24,星期五,2013,腊月,廿四,癸巳,蛇,0,乙丑,乙未,,,,,,四九第七天
2014,1,25,星期六,2013,腊月,廿五,癸巳,蛇,0,乙丑,丙申,,,,,,四九第八天
2014,1,26,星期日,2013,腊月,廿六,癸巳,蛇,0,乙丑,丁酉,,,,,,四九第九天
2014,1,27,星期一,2013,腊月,廿七,癸巳,蛇,0,乙丑,戊戌,,,,,,五九第一天
2014,1,28,星期二,2013,腊月,廿八,癸巳,蛇,0,乙丑,己亥,,,,,,五九第二天
2014,1,29,星期三,2013,腊月,廿九,癸巳,蛇,0,乙丑,庚子,,,,,,五九第三天
2014,1,30,星期四,2013,腊月,三十,癸巳,蛇,0,乙丑,辛丑,,,,除夕,,五九第四天
2014,1,31,星期五,2014,正月,初一,癸巳,蛇,0,乙丑,壬寅,,,,春节,,五九第五天
2014,2,1,星期六,2014,正月,初二,癸巳,蛇,0,乙丑,癸卯,,,,,,五九第六天
2014,2,2,星期日,2014,正月,初三,癸巳,蛇,0,乙丑,甲辰,,,,,,五九第七天
2014,2,3,星期一,2014,正月,初四,癸巳,蛇,0,乙丑,乙巳,,,,,,五九第八天
2014,2,4,星期二,2014,正月,初五,甲午,马,9,丙寅,丙午,立春,6:03:15,,,,五九第九天
2014,2,5,星期三,2014,正月,初六,甲午,马,9,丙寅,丁未,,,,,,六九第一天
2014,2,6,星期四,2014,正月,初七,甲午,马,9,丙寅,戊申,,,,,,六九第二天
2014,2,7,星期五,2014,正月,初八,甲午,马,9,丙寅,己酉,,,,,,六九第三天
2014,2,8,星期六,2014,正月,初九,甲午,马,9,丙寅,庚戌,,,,,,六九第四天
2014,2,9,星期日,2014,正月,初十,甲午,马,9,丙寅,辛亥,,,,,,六九第五天
2014,2,10,星期一,2014,正月,十一,甲午,马,9,丙寅,壬子,,,,,,六九第六天
2014,2,11,星期二,2014,正月,十二,甲午,马,9,丙寅,癸丑,,,,,,六九第七天
2014,2,12,星期三,2014,正月,十三,甲午,马,9,丙寅,甲寅,,,,,,六九第八天
2014,2,13,星期四,2014,正月,十四,甲午,马,9,丙寅,乙卯,,,,,,六九第九天
2014,2,14,星期五,2014,正月,十五,甲午,马,9,丙寅,丙辰,,,情人节,元宵节,,七九第一天
2014,2,15,星期六,2014,正月,十六,甲午,马,9,丙寅,丁巳,,,,,,七九第二天
2014,2,16,星期日,2014,正月,十七,甲午,马,9,丙寅,戊午,,,,,,七九第三天
2014,2,17,星期一,2014,正月,十八,甲午,马,9,丙寅,己未,,,,,,七九第四天
2014,2,18,星期二,2014,正月,十九,甲午,马,9,丙寅,庚申,,,,,,七九第五天
2014,2,19,星期三,2014,正月,二十,甲午,马,9,丙寅,辛酉,雨水,1:59:29,,,,七九第六天
2014,2,20,星期四,2014,正月,廿一,甲午,马,9,丙寅,壬戌,,,,,,七九第七天
2014,2,21,星期五,2014,正月,廿二,甲午,马,9,丙寅,癸亥,,,,,,七九第八天
2014,2,22,星期六,2014,正月,廿三,甲午,马,9,丙寅,甲子,,,,,,七九第九天
2014,2,23,星期日,2014,正月,廿四,甲午,马,9,丙寅,乙丑,,,,,,八九第一天
2014,2,24,星期一,2014,正月,廿五,甲午,马,9,丙寅,丙寅,,,,,,八九第二天
2014,2,25,星期二,2014,正月,廿六,甲午,马,9,丙寅,丁卯,,,,,,八九第三天
2014,2,26,星期三,2014,正月,廿七,甲午,马,9,丙寅,戊辰,,,,,,八九第四天
2014,2,27,星期四,2014,正月,廿八,甲午,马,9,丙寅,己巳,,,,,,八九第五天
2014,2,28,星期五,2014,正月,廿九,甲午,马,9,丙寅,庚午,,,,,,八九第六天
2014,3,1,星期六,2014,二月,初一,甲午,马,9,丙寅,辛未,,,,,,八九第七天
