年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
1981,1,1,星期四,1980,冬月,廿六,庚申,猴,0,戊子,己卯,,,元旦,,,二九第二天
1981,1,2,星期五,1980,冬月,廿七,庚申,猴,0,戊子,庚辰,,,,,,二九第三天
1981,1,3,星期六,1980,冬月,廿八,庚申,猴,0,戊子,辛巳,,,,,,二九第四天
1981,1,4,星期日,1980,冬月,廿九,庚申,猴,0,戊子,壬午,,,,,,二九第五天
1981,1,5,星期一,1980,冬月,三十,庚申,猴,0,己丑,癸未,小寒,18:12:38,,,,二九第六天
1981,1,6,星期二,1980,腊月,初一,庚申,猴,0,己丑,甲申,,,,,,二九第七天
1981,1,7,星期三,1980,腊月,初二,庚申,猴,0,己丑,乙酉,,,,,,二九第八天
1981,1,8,星期四,1980,腊月,初三,庚申,猴,0,己丑,丙戌,,,,,,二九第九天
1981,1,9,星期五,1980,腊月,初四,庚申,猴,0,己丑,丁亥,,,,,,三九第一天
1981,1,10,星期六,1980,腊月,初五,庚申,猴,0,己丑,戊子,,,,,,三九第二天
1981,1,11,星期日,1980,腊月,初六,庚申,猴,0,己丑,己丑,,,,,,三九第三天
1981,1,12,星期一,1980,腊月,初七,庚申,猴,0,己丑,庚寅,,,,,,三九第四天
1981,1,13,星期二,1980,腊月,初八,庚申,猴,0,己丑,辛卯,,,,腊八节,,三九第五天
1981,1,14,星期三,1980,腊月,初九,庚申,猴,0,己丑,壬辰,,,,,,三九第六天
1981,1,15,星期四,1980,腊月,初十,庚申,猴,0,己丑,癸巳,,,,,,三九第七天
1981,1,16,星期五,1980,腊月,十一,庚申,猴,0,己丑,甲午,,,,,,三九第八天
1981,1,17,星期六,1980,腊月,十二,庚申,猴,0,己丑,乙未,,,,,,三九第九天
1981,1,18,星期日,1980,腊月,十三,庚申,猴,0,己丑,丙申,,,,,,四九第一天
1981,1,19,星期一,1980,腊月,十四,庚申,猴,0,己丑,丁酉,,,,,,四九第二天
1981,1,20,星期二,1980,腊月,十五,庚申,猴,0,己丑,戊戌,大寒,11:35:58,,,,四九第三天
1981,1,21,星期三,1980,腊月,十六,庚申,猴,0,己丑,己亥,,,,,,四九第四天
1981,1,22,星期四,1980,腊月,十七,庚申,猴,0,己丑,庚子,,,,,,四九第五天
1981,1,23,星期五,1980,腊月,十八,庚申,猴,0,己丑,辛丑,,,,,,四九第六天
1981,1,24,星期六,1980,腊月,十九,庚申,猴,0,己丑,壬寅,,,,,,四九第七天
1981,1,25,星期日,1980,腊月,二十,庚申,猴,0,己丑,癸卯,,,,,,四九第八天
1981,1,26,星期一,1980,腊月,廿一,庚申,猴,0,己丑,甲辰,,,,,,四九第九天
1981,1,27,星期二,1980,腊月,廿二,庚申,猴,0,己丑,乙巳,,,,,,五九第一天
1981,1,28,星期三,1980,腊月,廿三,庚申,猴,0,己丑,丙午,,,,小年,,五九第二天
1981,1,29,星期四,1980,腊月,廿四,庚申,猴,0,己丑,丁未,,,,,,五九第三天
1981,1,30,星期五,1980,腊月,廿五,庚申,猴,0,己丑,戊申,,,,,,五九第四天
1981,1,31,星期六,1980,腊月,廿六,庚申,猴,0,己丑,己酉,,,,,,五九第五天
1981,2,1,星期日,1980,腊月,廿七,庚申,猴,0,己丑,庚戌,,,,,,五九第六天
1981,2,2,星期一,1980,腊月,廿八,庚申,猴,0,己丑,辛亥,,,,,,五九第七天
1981,2,3,星期二,1980,腊月,廿九,庚申,猴,0,己丑,壬子,,,,,,五九第八天
1981,2,4,星期三,1980,腊月,三十,辛酉,鸡,0,庚寅,癸丑,立春,5:55:23,,除夕,,五九第九天
1981,2,5,星期四,1981,正月,初一,辛酉,鸡,0,庚寅,甲寅,,,,春节,,六九第一天
