年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
1985,1,1,星期二,1984,冬月,十一,甲子,鼠,10,丙子,庚子,,,元旦,,,二九第二天
1985,1,2,星期三,1984,冬月,十二,甲子,鼠,10,丙子,辛丑,,,,,,二九第三天
1985,1,3,星期四,1984,冬月,十三,甲子,鼠,10,丙子,壬寅,,,,,,二九第四天
1985,1,4,星期五,1984,冬月,十四,甲子,鼠,10,丙子,癸卯,,,,,,二九第五天
1985,1,5,星期六,1984,冬月,十五,甲子,鼠,10,丁丑,甲辰,小寒,17:35:05,,,,二九第六天
1985,1,6,星期日,1984,冬月,十六,甲子,鼠,10,丁丑,乙巳,,,,,,二九第七天
1985,1,7,星期一,1984,冬月,十七,甲子,鼠,10,丁丑,丙午,,,,,,二九第八天
1985,1,8,星期二,1984,冬月,十八,甲子,鼠,10,丁丑,丁未,,,,,,二九第九天
1985,1,9,星期三,1984,冬月,十九,甲子,鼠,10,丁丑,戊申,,,,,,三九第一天
1985,1,10,星期四,1984,冬月,二十,甲子,鼠,10,丁丑,己酉,,,,,,三九第二天
1985,1,11,星期五,1984,冬月,廿一,甲子,鼠,10,丁丑,庚戌,,,,,,三九第三天
1985,1,12,星期六,1984,冬月,廿二,甲子,鼠,10,丁丑,辛亥,,,,,,三九第四天
1985,1,13,星期日,1984,冬月,廿三,甲子,鼠,10,丁丑,壬子,,,,,,三九第五天
1985,1,14,星期一,1984,冬月,廿四,甲子,鼠,10,丁丑,癸丑,,,,,,三九第六天
1985,1,15,星期二,1984,冬月,廿五,甲子,鼠,10,丁丑,甲寅,,,,,,三九第七天
1985,1,16,星期三,1984,冬月,廿六,甲子,鼠,10,丁丑,乙卯,,,,,,三九第八天
1985,1,17,星期四,1984,冬月,廿七,甲子,鼠,10,丁丑,丙辰,,,,,,三九第九天
1985,1,18,星期五,1984,冬月,廿八,甲子,鼠,10,丁丑,丁巳,,,,,,四九第一天
1985,1,19,星期六,1984,冬月,廿九,甲子,鼠,10,丁丑,戊午,,,,,,四九第二天
1985,1,20,星期日,1984,冬月,三十,甲子,鼠,10,丁丑,己未,大寒,10:57:33,,,,四九第三天
1985,1,21,星期一,1984,腊月,初一,甲子,鼠,10,丁丑,庚申,,,,,,四九第四天
1985,1,22,星期二,1984,腊月,初二,甲子,鼠,10,丁丑,辛酉,,,,,,四九第五天
1985,1,23,星期三,1984,腊月,初三,甲子,鼠,10,丁丑,壬戌,,,,,,四九第六天
1985,1,24,星期四,1984,腊月,初四,甲子,鼠,10,丁丑,癸亥,,,,,,四九第七天
1985,1,25,星期五,1984,腊月,初五,甲子,鼠,10,丁丑,甲子,,,,,,四九第八天
1985,1,26,星期六,1984,腊月,初六,甲子,鼠,10,丁丑,乙丑,,,,,,四九第九天
1985,1,27,星期日,1984,腊月,初七,甲子,鼠,10,丁丑,丙寅,,,,,,五九第一天
1985,1,28,星期一,1984,腊月,初八,甲子,鼠,10,丁丑,丁卯,,,,腊八节,,五九第二天
1985,1,29,星期二,1984,腊月,初九,甲子,鼠,10,丁丑,戊辰,,,,,,五九第三天
1985,1,30,星期三,1984,腊月,初十,甲子,鼠,10,丁丑,己巳,,,,,,五九第四天
1985,1,31,星期四,1984,腊月,十一,甲子,鼠,10,丁丑,庚午,,,,,,五九第五天
1985,2,1,星期五,1984,腊月,十二,甲子,鼠,10,丁丑,辛未,,,,,,五九第六天
1985,2,2,星期六,1984,腊月,十三,甲子,鼠,10,丁丑,壬申,,,,,,五九第七天
1985,2,3,星期日,1984,腊月,十四,甲子,鼠,10,丁丑,癸酉,,,,,,五九第八天
1985,2,4,星期一,1984,腊月,十五,乙丑,牛,0,戊寅,甲戌,立春,5:11:47,,,,五九第九天
1985,2,5,星期二,1984,腊月,十六,乙丑,牛,0,戊寅,乙亥,,,,,,六九第一天
1985,2,6,星期三,1984,腊月,十七,乙丑,牛,0,戊寅,丙子,,,,,,六九第二天
1985,2,7,星期四,1984,腊月,十八,乙丑,牛,0,戊寅,丁丑,,,,,,六九第三天
1985,2,8,星期五,1984,腊月,十九,乙丑,牛,0,戊寅,戊寅,,,,,,六九第四天
1985,2,9,星期六,1984,腊月,二十,乙丑,牛,0,戊寅,己卯,,,,,,六九第五天
1985,2,10,星期日,1984,腊月,廿一,乙丑,牛,0,戊寅,庚辰,,,,,,六九第六天
