年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2004,1,1,星期四,2003,腊月,初十,癸未,羊,0,甲子,己卯,,,元旦,,,二九第二天
2004,1,2,星期五,2003,腊月,十一,癸未,羊,0,甲子,庚辰,,,,,,二九第三天
2004,1,3,星期六,2003,腊月,十二,癸未,羊,0,甲子,辛巳,,,,,,二九第四天
2004,1,4,星期日,2003,腊月,十三,癸未,羊,0,甲子,壬午,,,,,,二九第五天
2004,1,5,星期一,2003,腊月,十四,癸未,羊,0,甲子,癸未,,,,,,二九第六天
2004,1,6,星期二,2003,腊月,十五,癸未,羊,0,乙丑,甲申,小寒,8:18:33,,,,二九第七天
2004,1,7,星期三,2003,腊月,十六,癸未,羊,0,乙丑,乙酉,,,,,,二九第八天
2004,1,8,星期四,2003,腊月,十七,癸未,羊,0,乙丑,丙戌,,,,,,二九第九天
2004,1,9,星期五,2003,腊月,十八,癸未,羊,0,乙丑,丁亥,,,,,,三九第一天
2004,1,10,星期六,2003,腊月,十九,癸未,羊,0,乙丑,戊子,,,,,,三九第二天
2004,1,11,星期日,2003,腊月,二十,癸未,羊,0,乙丑,己丑,,,,,,三九第三天
2004,1,12,星期一,2003,腊月,廿一,癸未,羊,0,乙丑,庚寅,,,,,,三九第四天
2004,1,13,星期二,2003,腊月,廿二,癸未,羊,0,乙丑,辛卯,,,,,,三九第五天
2004,1,14,星期三,2003,腊月,廿三,癸未,羊,0,乙丑,壬辰,,,,小年,,三九第六天
2004,1,15,星期四,2003,腊月,廿四,癸未,羊,0,乙丑,癸巳,,,,,,三九第七天
2004,1,16,星期五,2003,腊月,廿五,癸未,羊,0,乙丑,甲午,,,,,,三九第八天
2004,1,17,星期六,2003,腊月,廿六,癸未,羊,0,乙丑,乙未,,,,,,三九第九天
2004,1,18,星期日,2003,腊月,廿七,癸未,羊,0,乙丑,丙申,,,,,,四九第一天
2004,1,19,星期一,2003,腊月,廿八,癸未,羊,0,乙丑,丁酉,,,,,,四九第二天
2004,1,20,星期二,2003,腊月,廿九,癸未,羊,0,乙丑,戊戌,,,,,,四九第三天
2004,1,21,星期三,2003,腊月,三十,癸未,羊,0,乙丑,己亥,大寒,1:42:22,,除夕,,四九第四天
2004,1,22,星期四,2004,正月,初一,癸未,羊,0,乙丑,庚子,,,,春节,,四九第五天
2004,1,23,星期五,2004,正月,初二,癸未,羊,0,乙丑,辛丑,,,,,,四九第六天
2004,1,24,星期六,2004,正月,初三,癸未,羊,0,乙丑,壬寅,,,,,,四九第七天
2004,1,25,星期日,2004,正月,初四,癸未,羊,0,乙丑,癸卯,,,,,,四九第八天
2004,1,26,星期一,2004,正月,初五,癸未,羊,0,乙丑,甲辰,,,,,,四九第九天
2004,1,27,星期二,2004,正月,初六,癸未,羊,0,乙丑,乙巳,,,,,,五九第一天
2004,1,28,星期三,2004,正月,初七,癸未,羊,0,乙丑,丙午,,,,,,五九第二天
2004,1,29,星期四,2004,正月,初八,癸未,羊,0,乙丑,丁未,,,,,,五九第三天
2004,1,30,星期五,2004,正月,初九,癸未,羊,0,乙丑,戊申,,,,,,五九第四天
2004,1,31,星期六,2004,正月,初十,癸未,羊,0,乙丑,己酉,,,,,,五九第五天
2004,2,1,星期日,2004,正月,十一,癸未,羊,0,乙丑,庚戌,,,,,,五九第六天
2004,2,2,星期一,2004,正月,十二,癸未,羊,0,乙丑,辛亥,,,,,,五九第七天
2004,2,3,星期二,2004,正月,十三,癸未,羊,0,乙丑,壬子,,,,,,五九第八天
2004,2,4,星期三,2004,正月,十四,甲申,猴,2,丙寅,癸丑,立春,19:56:13,,,,五九第九天
2004,2,5,星期四,2004,正月,十五,甲申,猴,2,丙寅,甲寅,,,,元宵节,,六九第一天
2004,2,6,星期五,2004,正月,十六,甲申,猴,2,丙寅,乙卯,,,,,,六九第二天
2004,2,7,星期六,2004,正月,十七,甲申,猴,2,丙寅,丙辰,,,,,,六九第三天
