年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2015,1,1,星期四,2014,冬月,十一,甲午,马,9,丙子,丁丑,,,元旦,,,二九第二天
2015,1,2,星期五,2014,冬月,十二,甲午,马,9,丙子,戊寅,,,,,,二九第三天
2015,1,3,星期六,2014,冬月,十三,甲午,马,9,丙子,己卯,,,,,,二九第四天
2015,1,4,星期日,2014,冬月,十四,甲午,马,9,丙子,庚辰,,,,,,二九第五天
2015,1,5,星期一,2014,冬月,十五,甲午,马,9,丙子,辛巳,,,,,,二九第六天
2015,1,6,星期二,2014,冬月,十六,甲午,马,9,丁丑,壬午,小寒,0:20:32,,,,二九第七天
2015,1,7,星期三,2014,冬月,十七,甲午,马,9,丁丑,癸未,,,,,,二九第八天
2015,1,8,星期四,2014,冬月,十八,甲午,马,9,丁丑,甲申,,,,,,二九第九天
2015,1,9,星期五,2014,冬月,十九,甲午,马,9,丁丑,乙酉,,,,,,三九第一天
2015,1,10,星期六,2014,冬月,二十,甲午,马,9,丁丑,丙戌,,,,,,三九第二天
2015,1,11,星期日,2014,冬月,廿一,甲午,马,9,丁丑,丁亥,,,,,,三九第三天
2015,1,12,星期一,2014,冬月,廿二,甲午,马,9,丁丑,戊子,,,,,,三九第四天
2015,1,13,星期二,2014,冬月,廿三,甲午,马,9,丁丑,己丑,,,,,,三九第五天
2015,1,14,星期三,2014,冬月,廿四,甲午,马,9,丁丑,庚寅,,,,,,三九第六天
2015,1,15,星期四,2014,冬月,廿五,甲午,马,9,丁丑,辛卯,,,,,,三九第七天
2015,1,16,星期五,2014,冬月,廿六,甲午,马,9,丁丑,壬辰,,,,,,三九第八天
2015,1,17,星期六,2014,冬月,廿七,甲午,马,9,丁丑,癸巳,,,,,,三九第九天
2015,1,18,星期日,2014,冬月,廿八,甲午,马,9,丁丑,甲午,,,,,,四九第一天
2015,1,19,星期一,2014,冬月,廿九,甲午,马,9,丁丑,乙未,,,,,,四九第二天
2015,1,20,星期二,2014,腊月,初一,甲午,马,9,丁丑,丙申,大寒,17:43:14,,,,四九第三天
2015,1,21,星期三,2014,腊月,初二,甲午,马,9,丁丑,丁酉,,,,,,四九第四天
2015,1,22,星期四,2014,腊月,初三,甲午,马,9,丁丑,戊戌,,,,,,四九第五天
2015,1,23,星期五,2014,腊月,初四,甲午,马,9,丁丑,己亥,,,,,,四九第六天
2015,1,24,星期六,2014,腊月,初五,甲午,马,9,丁丑,庚子,,,,,,四九第七天
2015,1,25,星期日,2014,腊月,初六,甲午,马,9,丁丑,辛丑,,,,,,四九第八天
2015,1,26,星期一,2014,腊月,初七,甲午,马,9,丁丑,壬寅,,,,,,四九第九天
2015,1,27,星期二,2014,腊月,初八,甲午,马,9,丁丑,癸卯,,,,腊八节,,五九第一天
2015,1,28,星期三,2014,腊月,初九,甲午,马,9,丁丑,甲辰,,,,,,五九第二天
2015,1,29,星期四,2014,腊月,初十,甲午,马,9,丁丑,乙巳,,,,,,五九第三天
2015,1,30,星期五,2014,腊月,十一,甲午,马,9,丁丑,丙午,,,,,,五九第四天
2015,1,31,星期六,2014,腊月,十二,甲午,马,9,丁丑,丁未,,,,,,五九第五天
2015,2,1,星期日,2014,腊月,十三,甲午,马,9,丁丑,戊申,,,,,,五九第六天
2015,2,2,星期一,2014,腊月,十四,甲午,马,9,丁丑,己酉,,,,,,五九第七天
2015,2,3,星期二,2014,腊月,十五,甲午,马,9,丁丑,庚戌,,,,,,五九第八天
