年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
1983,1,1,星期六,1982,冬月,十八,壬戌,狗,4,壬子,己丑,,,元旦,,,二九第二天
1983,1,2,星期日,1982,冬月,十九,壬戌,狗,4,壬子,庚寅,,,,,,二九第三天
1983,1,3,星期一,1982,冬月,二十,壬戌,狗,4,壬子,辛卯,,,,,,二九第四天
1983,1,4,星期二,1982,冬月,廿一,壬戌,狗,4,壬子,壬辰,,,,,,二九第五天
1983,1,5,星期三,1982,冬月,廿二,壬戌,狗,4,壬子,癸巳,,,,,,二九第六天
1983,1,6,星期四,1982,冬月,廿三,壬戌,狗,4,癸丑,甲午,小寒,5:58:42,,,,二九第七天
1983,1,7,星期五,1982,冬月,廿四,壬戌,狗,4,癸丑,乙未,,,,,,二九第八天
1983,1,8,星期六,1982,冬月,廿五,壬戌,狗,4,癸丑,丙申,,,,,,二九第九天
1983,1,9,星期日,1982,冬月,廿六,壬戌,狗,4,癸丑,丁酉,,,,,,三九第一天
1983,1,10,星期一,1982,冬月,廿七,壬戌,狗,4,癸丑,戊戌,,,,,,三九第二天
1983,1,11,星期二,1982,冬月,廿八,壬戌,狗,4,癸丑,己亥,,,,,,三九第三天
1983,1,12,星期三,1982,冬月,廿九,壬戌,狗,4,癸丑,庚子,,,,,,三九第四天
1983,1,13,星期四,1982,冬月,三十,壬戌,狗,4,癸丑,辛丑,,,,,,三九第五天
1983,1,14,星期五,1982,腊月,初一,壬戌,狗,4,癸丑,壬寅,,,,,,三九第六天
1983,1,15,星期六,1982,腊月,初二,壬戌,狗,4,癸丑,癸卯,,,,,,三九第七天
1983,1,16,星期日,1982,腊月,初三,壬戌,狗,4,癸丑,甲辰,,,,,,三九第八天
1983,1,17,星期一,1982,腊月,初四,壬戌,狗,4,癸丑,乙巳,,,,,,三九第九天
1983,1,18,星期二,1982,腊月,初五,壬戌,狗,4,癸丑,丙午,,,,,,四九第一天
1983,1,19,星期三,1982,腊月,初六,壬戌,狗,4,癸丑,丁未,,,,,,四九第二天
1983,1,20,星期四,1982,腊月,初七,壬戌,狗,4,癸丑,戊申,大寒,23:16:56,,,,四九第三天
1983,1,21,星期五,1982,腊月,初八,壬戌,狗,4,癸丑,己酉,,,,腊八节,,四九第四天
1983,1,22,星期六,1982,腊月,初九,壬戌,狗,4,癸丑,庚戌,,,,,,四九第五天
1983,1,23,星期日,1982,腊月,初十,壬戌,狗,4,癸丑,辛亥,,,,,,四九第六天
1983,1,24,星期一,1982,腊月,十一,壬戌,狗,4,癸丑,壬子,,,,,,四九第七天
1983,1,25,星期二,1982,腊月,十二,壬戌,狗,4,癸丑,癸丑,,,,,,四九第八天
1983,1,26,星期三,1982,腊月,十三,壬戌,狗,4,癸丑,甲寅,,,,,,四九第九天
1983,1,27,星期四,1982,腊月,十四,壬戌,狗,4,癸丑,乙卯,,,,,,五九第一天
1983,1,28,星期五,1982,腊月,十五,壬戌,狗,4,癸丑,丙辰,,,,,,五九第二天
1983,1,29,星期六,1982,腊月,十六,壬戌,狗,4,癸丑,丁巳,,,,,,五九第三天
1983,1,30,星期日,1982,腊月,十七,壬戌,狗,4,癸丑,戊午,,,,,,五九第四天
1983,1,31,星期一,1982,腊月,十八,壬戌,狗,4,癸丑,己未,,,,,,五九第五天
1983,2,1,星期二,1982,腊月,十九,壬戌,狗,4,癸丑,庚申,,,,,,五九第六天
1983,2,2,星期三,1982,腊月,二十,壬戌,狗,4,癸丑,辛酉,,,,,,五九第七天
1983,2,3,星期四,1982,腊月,廿一,壬戌,狗,4,癸丑,壬戌,,,,,,五九第八天
