年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
1986,1,1,星期三,1985,冬月,廿一,乙丑,牛,0,戊子,乙巳,,,元旦,,,二九第二天
1986,1,2,星期四,1985,冬月,廿二,乙丑,牛,0,戊子,丙午,,,,,,二九第三天
1986,1,3,星期五,1985,冬月,廿三,乙丑,牛,0,戊子,丁未,,,,,,二九第四天
1986,1,4,星期六,1985,冬月,廿四,乙丑,牛,0,戊子,戊申,,,,,,二九第五天
1986,1,5,星期日,1985,冬月,廿五,乙丑,牛,0,己丑,己酉,小寒,23:28:02,,,,二九第六天
1986,1,6,星期一,1985,冬月,廿六,乙丑,牛,0,己丑,庚戌,,,,,,二九第七天
1986,1,7,星期二,1985,冬月,廿七,乙丑,牛,0,己丑,辛亥,,,,,,二九第八天
1986,1,8,星期三,1985,冬月,廿八,乙丑,牛,0,己丑,壬子,,,,,,二九第九天
1986,1,9,星期四,1985,冬月,廿九,乙丑,牛,0,己丑,癸丑,,,,,,三九第一天
1986,1,10,星期五,1985,腊月,初一,乙丑,牛,0,己丑,甲寅,,,,,,三九第二天
1986,1,11,星期六,1985,腊月,初二,乙丑,牛,0,己丑,乙卯,,,,,,三九第三天
1986,1,12,星期日,1985,腊月,初三,乙丑,牛,0,己丑,丙辰,,,,,,三九第四天
1986,1,13,星期一,1985,腊月,初四,乙丑,牛,0,己丑,丁巳,,,,,,三九第五天
1986,1,14,星期二,1985,腊月,初五,乙丑,牛,0,己丑,戊午,,,,,,三九第六天
1986,1,15,星期三,1985,腊月,初六,乙丑,牛,0,己丑,己未,,,,,,三九第七天
1986,1,16,星期四,1985,腊月,初七,乙丑,牛,0,己丑,庚申,,,,,,三九第八天
1986,1,17,星期五,1985,腊月,初八,乙丑,牛,0,己丑,辛酉,,,,腊八节,,三九第九天
1986,1,18,星期六,1985,腊月,初九,乙丑,牛,0,己丑,壬戌,,,,,,四九第一天
1986,1,19,星期日,1985,腊月,初十,乙丑,牛,0,己丑,癸亥,,,,,,四九第二天
1986,1,20,星期一,1985,腊月,十一,乙丑,牛,0,己丑,甲子,大寒,16:46:12,,,,四九第三天
1986,1,21,星期二,1985,腊月,十二,乙丑,牛,0,己丑,乙丑,,,,,,四九第四天
1986,1,22,星期三,1985,腊月,十三,乙丑,牛,0,己丑,丙寅,,,,,,四九第五天
1986,1,23,星期四,1985,腊月,十四,乙丑,牛,0,己丑,丁卯,,,,,,四九第六天
1986,1,24,星期五,1985,腊月,十五,乙丑,牛,0,己丑,戊辰,,,,,,四九第七天
1986,1,25,星期六,1985,腊月,十六,乙丑,牛,0,己丑,己巳,,,,,,四九第八天
1986,1,26,星期日,1985,腊月,十七,乙丑,牛,0,己丑,庚午,,,,,,四九第九天
1986,1,27,星期一,1985,腊月,十八,乙丑,牛,0,己丑,辛未,,,,,,五九第一天
1986,1,28,星期二,1985,腊月,十九,乙丑,牛,0,己丑,壬申,,,,,,五九第二天
1986,1,29,星期三,1985,腊月,二十,乙丑,牛,0,己丑,癸酉,,,,,,五九第三天
1986,1,30,星期四,1985,腊月,廿一,乙丑,牛,0,己丑,甲戌,,,,,,五九第四天
1986,1,31,星期五,1985,腊月,廿二,乙丑,牛,0,己丑,乙亥,,,,,,五九第五天
1986,2,1,星期六,1985,腊月,廿三,乙丑,牛,0,己丑,丙子,,,,小年,,五九第六天
1986,2,2,星期日,1985,腊月,廿四,乙丑,牛,0,己丑,丁丑,,,,,,五九第七天
1986,2,3,星期一,1985,腊月,廿五,乙丑,牛,0,己丑,戊寅,,,,,,五九第八天
1986,2,4,星期二,1985,腊月,廿六,丙寅,虎,0,庚寅,己卯,立春,11:07:42,,,,五九第九天
1986,2,5,星期三,1985,腊月,廿七,丙寅,虎,0,庚寅,庚辰,,,,,,六九第一天
1986,2,6,星期四,1985,腊月,廿八,丙寅,虎,0,庚寅,辛巳,,,,,,六九第二天
1986,2,7,星期五,1985,腊月,廿九,丙寅,虎,0,庚寅,壬午,,,,,,六九第三天
1986,2,8,星期六,1985,腊月,三十,丙寅,虎,0,庚寅,癸未,,,,除夕,,六九第四天
1986,2,9,星期日,1986,正月,初一,丙寅,虎,0,庚寅,甲申,,,,春节,,六九第五天
1986,2,10,星期一,1986,正月,初二,丙寅,虎,0,庚寅,乙酉,,,,,,六九第六天
1986,2,11,星期二,1986,正月,初三,丙寅,虎,0,庚寅,丙戌,,,,,,六九第七天
1986,2,12,星期三,1986,正月,初四,丙寅,虎,0,庚寅,丁亥,,,,,,六九第八天
1986,2,13,星期四,1986,正月,初五,丙寅,虎,0,庚寅,戊子,,,,,,六九第九天
1986,2,14,星期五,1986,正月,初六,丙寅,虎,0,庚寅,己丑,,,情人节,,,七九第一天
1986,2,15,星期六,1986,正月,初七,丙寅,虎,0,庚寅,庚寅,,,,,,七九第二天
1986,2,16,星期日,1986,正月,初八,丙寅,虎,0,庚寅,辛卯,,,,,,七九第三天
1986,2,17,星期一,1986,正月,初九,丙寅,虎,0,庚寅,壬辰,,,,,,七九第四天
1986,2,18,星期二,1986,正月,初十,丙寅,虎,0,庚寅,癸巳,,,,,,七九第五天
1986,2,19,星期三,1986,正月,十一,丙寅,虎,0,庚寅,甲午,雨水,6:57:31,,,,七九第六天
