年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2017,1,1,星期日,2016,腊月,初四,丙申,猴,0,庚子,戊子,,,元旦,,,二九第三天
2017,1,2,星期一,2016,腊月,初五,丙申,猴,0,庚子,己丑,,,,,,二九第四天
2017,1,3,星期二,2016,腊月,初六,丙申,猴,0,庚子,庚寅,,,,,,二九第五天
2017,1,4,星期三,2016,腊月,初七,丙申,猴,0,庚子,辛卯,,,,,,二九第六天
2017,1,5,星期四,2016,腊月,初八,丙申,猴,0,辛丑,壬辰,小寒,11:55:42,,腊八节,,二九第七天
2017,1,6,星期五,2016,腊月,初九,丙申,猴,0,辛丑,癸巳,,,,,,二九第八天
2017,1,7,星期六,2016,腊月,初十,丙申,猴,0,辛丑,甲午,,,,,,二九第九天
2017,1,8,星期日,2016,腊月,十一,丙申,猴,0,辛丑,乙未,,,,,,三九第一天
2017,1,9,星期一,2016,腊月,十二,丙申,猴,0,辛丑,丙申,,,,,,三九第二天
2017,1,10,星期二,2016,腊月,十三,丙申,猴,0,辛丑,丁酉,,,,,,三九第三天
2017,1,11,星期三,2016,腊月,十四,丙申,猴,0,辛丑,戊戌,,,,,,三九第四天
2017,1,12,星期四,2016,腊月,十五,丙申,猴,0,辛丑,己亥,,,,,,三九第五天
2017,1,13,星期五,2016,腊月,十六,丙申,猴,0,辛丑,庚子,,,,,,三九第六天
2017,1,14,星期六,2016,腊月,十七,丙申,猴,0,辛丑,辛丑,,,,,,三九第七天
2017,1,15,星期日,2016,腊月,十八,丙申,猴,0,辛丑,壬寅,,,,,,三九第八天
2017,1,16,星期一,2016,腊月,十九,丙申,猴,0,辛丑,癸卯,,,,,,三九第九天
2017,1,17,星期二,2016,腊月,二十,丙申,猴,0,辛丑,甲辰,,,,,,四九第一天
2017,1,18,星期三,2016,腊月,廿一,丙申,猴,0,辛丑,乙巳,,,,,,四九第二天
2017,1,19,星期四,2016,腊月,廿二,丙申,猴,0,辛丑,丙午,,,,,,四九第三天
2017,1,20,星期五,2016,腊月,廿三,丙申,猴,0,辛丑,丁未,大寒,5:23:33,,小年,,四九第四天
2017,1,21,星期六,2016,腊月,廿四,丙申,猴,0,辛丑,戊申,,,,,,四九第五天
2017,1,22,星期日,2016,腊月,廿五,丙申,猴,0,辛丑,己酉,,,,,,四九第六天
2017,1,23,星期一,2016,腊月,廿六,丙申,猴,0,辛丑,庚戌,,,,,,四九第七天
2017,1,24,星期二,2016,腊月,廿七,丙申,猴,0,辛丑,辛亥,,,,,,四九第八天
2017,1,25,星期三,2016,腊月,廿八,丙申,猴,0,辛丑,壬子,,,,,,四九第九天
2017,1,26,星期四,2016,腊月,廿九,丙申,猴,0,辛丑,癸丑,,,,,,五九第一天
2017,1,27,星期五,2016,腊月,三十,丙申,猴,0,辛丑,甲寅,,,,除夕,,五九第二天
