年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
1998,1,1,星期四,1997,腊月,初三,丁丑,牛,0,壬子,戊申,,,元旦,,,二九第二天
1998,1,2,星期五,1997,腊月,初四,丁丑,牛,0,壬子,己酉,,,,,,二九第三天
1998,1,3,星期六,1997,腊月,初五,丁丑,牛,0,壬子,庚戌,,,,,,二九第四天
1998,1,4,星期日,1997,腊月,初六,丁丑,牛,0,壬子,辛亥,,,,,,二九第五天
1998,1,5,星期一,1997,腊月,初七,丁丑,牛,0,癸丑,壬子,小寒,21:18:09,,,,二九第六天
1998,1,6,星期二,1997,腊月,初八,丁丑,牛,0,癸丑,癸丑,,,,腊八节,,二九第七天
1998,1,7,星期三,1997,腊月,初九,丁丑,牛,0,癸丑,甲寅,,,,,,二九第八天
1998,1,8,星期四,1997,腊月,初十,丁丑,牛,0,癸丑,乙卯,,,,,,二九第九天
1998,1,9,星期五,1997,腊月,十一,丁丑,牛,0,癸丑,丙辰,,,,,,三九第一天
1998,1,10,星期六,1997,腊月,十二,丁丑,牛,0,癸丑,丁巳,,,,,,三九第二天
1998,1,11,星期日,1997,腊月,十三,丁丑,牛,0,癸丑,戊午,,,,,,三九第三天
1998,1,12,星期一,1997,腊月,十四,丁丑,牛,0,癸丑,己未,,,,,,三九第四天
1998,1,13,星期二,1997,腊月,十五,丁丑,牛,0,癸丑,庚申,,,,,,三九第五天
1998,1,14,星期三,1997,腊月,十六,丁丑,牛,0,癸丑,辛酉,,,,,,三九第六天
1998,1,15,星期四,1997,腊月,十七,丁丑,牛,0,癸丑,壬戌,,,,,,三九第七天
1998,1,16,星期五,1997,腊月,十八,丁丑,牛,0,癸丑,癸亥,,,,,,三九第八天
1998,1,17,星期六,1997,腊月,十九,丁丑,牛,0,癸丑,甲子,,,,,,三九第九天
1998,1,18,星期日,1997,腊月,二十,丁丑,牛,0,癸丑,乙丑,,,,,,四九第一天
1998,1,19,星期一,1997,腊月,廿一,丁丑,牛,0,癸丑,丙寅,,,,,,四九第二天
1998,1,20,星期二,1997,腊月,廿二,丁丑,牛,0,癸丑,丁卯,大寒,14:46:04,,,,四九第三天
1998,1,21,星期三,1997,腊月,廿三,丁丑,牛,0,癸丑,戊辰,,,,小年,,四九第四天
1998,1,22,星期四,1997,腊月,廿四,丁丑,牛,0,癸丑,己巳,,,,,,四九第五天
1998,1,23,星期五,1997,腊月,廿五,丁丑,牛,0,癸丑,庚午,,,,,,四九第六天
1998,1,24,星期六,1997,腊月,廿六,丁丑,牛,0,癸丑,辛未,,,,,,四九第七天
1998,1,25,星期日,1997,腊月,廿七,丁丑,牛,0,癸丑,壬申,,,,,,四九第八天
1998,1,26,星期一,1997,腊月,廿八,丁丑,牛,0,癸丑,癸酉,,,,,,四九第九天
1998,1,27,星期二,1997,腊月,廿九,丁丑,牛,0,癸丑,甲戌,,,,除夕,,五九第一天
1998,1,28,星期三,1998,正月,初一,丁丑,牛,0,癸丑,乙亥,,,,春节,,五九第二天
1998,1,29,星期四,1998,正月,初二,丁丑,牛,0,癸丑,丙子,,,,,,五九第三天
1998,1,30,星期五,1998,正月,初三,丁丑,牛,0,癸丑,丁丑,,,,,,五九第四天
