年,月,日,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2013,1,1,星期二,2012,冬月,二十,壬辰,龙,4,壬子,丁卯,,,元旦,,,二九第三天
2013,1,2,星期三,2012,冬月,廿一,壬辰,龙,4,壬子,戊辰,,,,,,二九第四天
2013,1,3,星期四,2012,冬月,廿二,壬辰,龙,4,壬子,己巳,,,,,,二九第五天
2013,1,4,星期五,2012,冬月,廿三,壬辰,龙,4,壬子,庚午,,,,,,二九第六天
2013,1,5,星期六,2012,冬月,廿四,壬辰,龙,4,癸丑,辛未,小寒,12:33:37,,,,二九第七天
2013,1,6,星期日,2012,冬月,廿五,壬辰,龙,4,癸丑,壬申,,,,,,二九第八天
2013,1,7,星期一,2012,冬月,廿六,壬辰,龙,4,癸丑,癸酉,,,,,,二九第九天
2013,1,8,星期二,2012,冬月,廿七,壬辰,龙,4,癸丑,甲戌,,,,,,三九第一天
2013,1,9,星期三,2012,冬月,廿八,壬辰,龙,4,癸丑,乙亥,,,,,,三九第二天
2013,1,10,星期四,2012,冬月,廿九,壬辰,龙,4,癸丑,丙子,,,,,,三九第三天
2013,1,11,星期五,2012,冬月,三十,壬辰,龙,4,癸丑,丁丑,,,,,,三九第四天
2013,1,12,星期六,2012,腊月,初一,壬辰,龙,4,癸丑,戊寅,,,,,,三九第五天
2013,1,13,星期日,2012,腊月,初二,壬辰,龙,4,癸丑,己卯,,,,,,三九第六天
2013,1,14,星期一,2012,腊月,初三,壬辰,龙,4,癸丑,庚辰,,,,,,三九第七天
2013,1,15,星期二,2012,腊月,初四,壬辰,龙,4,癸丑,辛巳,,,,,,三九第八天
2013,1,16,星期三,2012,腊月,初五,壬辰,龙,4,癸丑,壬午,,,,,,三九第九天
2013,1,17,星期四,2012,腊月,初六,壬辰,龙,4,癸丑,癸未,,,,,,四九第一天
2013,1,18,星期五,2012,腊月,初七,壬辰,龙,4,癸丑,甲申,,,,,,四九第二天
2013,1,19,星期六,2012,腊月,初八,壬辰,龙,4,癸丑,乙酉,,,,腊八节,,四九第三天
2013,1,20,星期日,2012,腊月,初九,壬辰,龙,4,癸丑,丙戌,大寒,5:51:42,,,,四九第四天
2013,1,21,星期一,2012,腊月,初十,壬辰,龙,4,癸丑,丁亥,,,,,,四九第五天
2013,1,22,星期二,2012,腊月,十一,壬辰,龙,4,癸丑,戊子,,,,,,四九第六天
2013,1,23,星期三,2012,腊月,十二,壬辰,龙,4,癸丑,己丑,,,,,,四九第七天
2013,1,24,星期四,2012,腊月,十三,壬辰,龙,4,癸丑,庚寅,,,,,,四九第八天
2013,1,25,星期五,2012,腊月,十四,壬辰,龙,4,癸丑,辛卯,,,,,,四九第九天
2013,1,26,星期六,2012,腊月,十五,壬辰,龙,4,癸丑,壬辰,,,,,,五九第一天
2013,1,27,星期日,2012,腊月,十六,壬辰,龙,4,癸丑,癸巳,,,,,,五九第二天
2013,1,28,星期一,2012,腊月,十七,壬辰,龙,4,癸丑,甲午,,,,,,五九第三天
2013,1,29,星期二,2012,腊月,十八,壬辰,龙,4,癸丑,乙未,,,,,,五九第四天
2013,1,30,星期三,2012,腊月,十九,壬辰,龙,4,癸丑,丙申,,,,,,五九第五天
2013,1,31,星期四,2012,腊月,二十,壬辰,龙,4,癸丑,丁酉,,,,,,五九第六天
2013,2,1,星期五,2012,腊月,廿一,壬辰,龙,4,癸丑,戊戌,,,,,,五九第七天
2013,2,2,星期六,2012,腊月,廿二,壬辰,龙,4,癸丑,己亥,,,,,,五九第八天
2013,2,3,星期日,2012,腊月,廿三,壬辰,龙,4,癸丑,庚子,,,,小年,,五九第九天
2013,2,4,星期一,2012,腊月,廿四,癸巳,蛇,0,甲寅,辛丑,立春,0:13:25,,,,六九第一天
2013,2,5,星期二,2012,腊月,廿五,癸巳,蛇,0,甲寅,壬寅,,,,,,六九第二天
2013,2,6,星期三,2012,腊月,廿六,癸巳,蛇,0,甲寅,癸卯,,,,,,六九第三天
2013,2,7,星期四,2012,腊月,廿七,癸巳,蛇,0,甲寅,甲辰,,,,,,六九第四天
2013,2,8,星期五,2012,腊月,廿八,癸巳,蛇,0,甲寅,乙巳,,,,,,六九第五天
2013,2,9,星期六,2012,腊月,廿九,癸巳,蛇,0,甲寅,丙午,,,,除夕,,六九第六天
2013,2,10,星期日,2013,正月,初一,癸巳,蛇,0,甲寅,丁未,,,,春节,,六九第七天
2013,2,11,星期一,2013,正月,初二,癸巳,蛇,0,甲寅,戊申,,,,,,六九第八天
2013,2,12,星期二,2013,正月,初三,癸巳,蛇,0,甲寅,己酉,,,,,,六九第九天
2013,2,13,星期三,2013,正月,初四,癸巳,蛇,0,甲寅,庚戌,,,,,,七九第一天
2013,2,14,星期四,2013,正月,初五,癸巳,蛇,0,甲寅,辛亥,,,情人节,,,七九第二天
2013,2,15,星期五,2013,正月,初六,癸巳,蛇,0,甲寅,壬子,,,,,,七九第三天
2013,2,16,星期六,2013,正月,初七,癸巳,蛇,0,甲寅,癸丑,,,,,,七九第四天
2013,2,17,星期日,2013,正月,初八,癸巳,蛇,0,甲寅,甲寅,,,,,,七九第五天
2013,2,18,星期一,2013,正月,初九,癸巳,蛇,0,甲寅,乙卯,雨水,20:01:35,,,,七九第六天
2013,2,19,星期二,2013,正月,初十,癸巳,蛇,0,甲寅,丙辰,,,,,,七九第七天
2013,2,20,星期三,2013,正月,十一,癸巳,蛇,0,甲寅,丁巳,,,,,,七九第八天
2013,2,21,星期四,2013,正月,十二,癸巳,蛇,0,甲寅,戊午,,,,,,七九第九天
2013,2,22,星期五,2013,正月,十三,癸巳,蛇,0,甲寅,己未,,,,,,八九第一天
2013,2,23,星期六,2013,正月,十四,癸巳,蛇,0,甲寅,庚申,,,,,,八九第二天
2013,2,24,星期日,2013,正月,十五,癸巳,蛇,0,甲寅,辛酉,,,,元宵节,,八九第三天
2013,2,25,星期一,2013,正月,十六,癸巳,蛇,0,甲寅,壬戌,,,,,,八九第四天
2013,2,26,星期二,2013,正月,十七,癸巳,蛇,0,甲寅,癸亥,,,,,,八九第五天
2013,2,27,星期三,2013,正月,十八,癸巳,蛇,0,甲寅,甲子,,,,,,八九第六天
2013,2,28,星期四,2013,正月,十九,癸巳,蛇,0,甲寅,乙丑,,,,,,八九第七天
2013,3,1,星期五,2013,正月,二十,癸巳,蛇,0,甲寅,丙寅,,,,,,八九第八天
2013,3,2,星期六,2013,正月,廿一,癸巳,蛇,0,甲寅,丁卯,,,,,,八九第九天
2013,3,3,星期日,2013,正月,廿二,癸巳,蛇,0,甲寅,戊辰,,,,,,九九第一天
2013,3,4,星期一,2013,正月,廿三,癸巳,蛇,0,甲寅,己巳,,,,,,九九第二天
2013,3,5,星期二,2013,正月,廿四,癸巳,蛇,0,乙卯,庚午,惊蛰,18:14:51,,,,九九第三天
2013,3,6,星期三,2013,正月,廿五,癸巳,蛇,0,乙卯,辛未,,,,,,九九第四天
2013,3,7,星期四,2013,正月,廿六,癸巳,蛇,0,乙卯,壬申,,,,,,九九第五天
2013,3,8,星期五,2013,正月,廿七,癸巳,蛇,0,乙卯,癸酉,,,妇女节,,,九九第六天
2013,3,9,星期六,2013,正月,廿八,癸巳,蛇,0,乙卯,甲戌,,,,,,九九第七天
2013,3,10,星期日,2013,正月,廿九,癸巳,蛇,0,乙卯,乙亥,,,,,,九九第八天
2013,3,11,星期一,2013,正月,三十,癸巳,蛇,0,乙卯,丙子,,,,,,九九第九天
2013,3,12,星期二,2013,二月,初一,癸巳,蛇,0,乙卯,丁丑,,,植树节,,,
2013,3,13,星期三,2013,二月,初二,癸巳,蛇,0,乙卯,戊寅,,,,龙抬头,,
2013,3,14,星期四,2013,二月,初三,癸巳,蛇,0,乙卯,己卯,,,,,,
2013,3,15,星期五,2013,二月,初四,癸巳,蛇,0,乙卯,庚辰,,,,,,
2013,3,16,星期六,2013,二月,初五,癸巳,蛇,0,乙卯,辛巳,,,,,,
2013,3,17,星期日,2013,二月,初六,癸巳,蛇,0,乙卯,壬午,,,,,,
2013,3,18,星期一,2013,二月,初七,癸巳,蛇,0,乙卯,癸未,,,,,,
2013,3,19,星期二,2013,二月,初八,癸巳,蛇,0,乙卯,甲申,,,,,,
2013,3,20,星期三,2013,二月,初九,癸巳,蛇,0,乙卯,乙酉,春分,19:01:55,,,,
2013,3,21,星期四,2013,二月,初十,癸巳,蛇,0,乙卯,丙戌,,,,,,
2013,3,22,星期五,2013,二月,十一,癸巳,蛇,0,乙卯,丁亥,,,,,,
2013,3,23,星期六,2013,二月,十二,癸巳,蛇,0,乙卯,戊子,,,,,,
2013,3,24,星期日,2013,二月,十三,癸巳,蛇,0,乙卯,己丑,,,,,,
2013,3,25,星期一,2013,二月,十四,癸巳,蛇,0,乙卯,庚寅,,,,,,
2013,3,26,星期二,2013,二月,十五,癸巳,蛇,0,乙卯,辛卯,,,,,,
2013,3,27,星期三,2013,二月,十六,癸巳,蛇,0,乙卯,壬辰,,,,,,
2013,3,28,星期四,2013,二月,十七,癸巳,蛇,0,乙卯,癸巳,,,,,,
2013,3,29,星期五,2013,二月,十八,癸巳,蛇,0,乙卯,甲午,,,,,,
2013,3,30,星期六,2013,二月,十九,癸巳,蛇,0,乙卯,乙未,,,,,,
2013,3,31,星期日,2013,二月,二十,癸巳,蛇,0,乙卯,丙申,,,,,,
2013,4,1,星期一,2013,二月,廿一,癸巳,蛇,0,乙卯,丁酉,,,愚人节,,,
2013,4,2,星期二,2013,二月,廿二,癸巳,蛇,0,乙卯,戊戌,,,,,,
2013,4,3,星期三,2013,二月,廿三,癸巳,蛇,0,乙卯,己亥,,,,,,
2013,4,4,星期四,2013,二月,廿四,癸巳,蛇,0,丙辰,庚子,清明,23:02:27,,,,
2013,4,5,星期五,2013,二月,廿五,癸巳,蛇,0,丙辰,辛丑,,,,,,
2013,4,6,星期六,2013,二月,廿六,癸巳,蛇,0,丙辰,壬寅,,,,,,
2013,4,7,星期日,2013,二月,廿七,癸巳,蛇,0,丙辰,癸卯,,,,,,
2013,4,8,星期一,2013,二月,廿八,癸巳,蛇,0,丙辰,甲辰,,,,,,
2013,4,9,星期二,2013,二月,廿九,癸巳,蛇,0,丙辰,乙巳,,,,,,
2013,4,10,星期三,2013,三月,初一,癸巳,蛇,0,丙辰,丙午,,,,,,
2013,4,11,星期四,2013,三月,初二,癸巳,蛇,0,丙辰,丁未,,,,,,
2013,4,12,星期五,2013,三月,初三,癸巳,蛇,0,丙辰,戊申,,,,,,
2013,4,13,星期六,2013,三月,初四,癸巳,蛇,0,丙辰,己酉,,,,,,
2013,4,14,星期日,2013,三月,初五,癸巳,蛇,0,丙辰,庚戌,,,,,,
2013,4,15,星期一,2013,三月,初六,癸巳,蛇,0,丙辰,辛亥,,,,,,
2013,4,16,星期二,2013,三月,初七,癸巳,蛇,0,丙辰,壬子,,,,,,
2013,4,17,星期三,2013,三月,初八,癸巳,蛇,0,丙辰,癸丑,,,,,,
2013,4,18,星期四,2013,三月,初九,癸巳,蛇,0,丙辰,甲寅,,,,,,
2013,4,19,星期五,2013,三月,初十,癸巳,蛇,0,丙辰,乙卯,,,,,,
2013,4,20,星期六,2013,三月,十一,癸巳,蛇,0,丙辰,丙辰,谷雨,6:03:18,,,,
2013,4,21,星期日,2013,三月,十二,癸巳,蛇,0,丙辰,丁巳,,,,,,
2013,4,22,星期一,2013,三月,十三,癸巳,蛇,0,丙辰,戊午,,,,,,
2013,4,23,星期二,2013,三月,十四,癸巳,蛇,0,丙辰,己未,,,,,,
2013,4,24,星期三,2013,三月,十五,癸巳,蛇,0,丙辰,庚申,,,,,,
2013,4,25,星期四,2013,三月,十六,癸巳,蛇,0,丙辰,辛酉,,,,,,
2013,4,26,星期五,2013,三月,十七,癸巳,蛇,0,丙辰,壬戌,,,,,,
2013,4,27,星期六,2013,三月,十八,癸巳,蛇,0,丙辰,癸亥,,,,,,
2013,4,28,星期日,2013,三月,十九,癸巳,蛇,0,丙辰,甲子,,,,,,
2013,4,29,星期一,2013,三月,二十,癸巳,蛇,0,丙辰,乙丑,,,,,,
2013,4,30,星期二,2013,三月,廿一,癸巳,蛇,0,丙辰,丙寅,,,,,,
2013,5,1,星期三,2013,三月,廿二,癸巳,蛇,0,丙辰,丁卯,,,劳动节,,,
2013,5,2,星期四,2013,三月,廿三,癸巳,蛇,0,丙辰,戊辰,,,,,,
2013,5,3,星期五,2013,三月,廿四,癸巳,蛇,0,丙辰,己巳,,,,,,
2013,5,4,星期六,2013,三月,廿五,癸巳,蛇,0,丙辰,庚午,,,青年节,,,
2013,5,5,星期日,2013,三月,廿六,癸巳,蛇,0,丁巳,辛未,立夏,16:18:09,,,,
2013,5,6,星期一,2013,三月,廿七,癸巳,蛇,0,丁巳,壬申,,,,,,
2013,5,7,星期二,2013,三月,廿八,癸巳,蛇,0,丁巳,癸酉,,,,,,
2013,5,8,星期三,2013,三月,廿九,癸巳,蛇,0,丁巳,甲戌,,,,,,
2013,5,9,星期四,2013,三月,三十,癸巳,蛇,0,丁巳,乙亥,,,,,,
2013,5,10,星期五,2013,四月,初一,癸巳,蛇,0,丁巳,丙子,,,,,,
2013,5,11,星期六,2013,四月,初二,癸巳,蛇,0,丁巳,丁丑,,,,,,
2013,5,12,星期日,2013,四月,初三,癸巳,蛇,0,丁巳,戊寅,,,,,母亲节,
2013,5,13,星期一,2013,四月,初四,癸巳,蛇,0,丁巳,己卯,,,,,,
2013,5,14,星期二,2013,四月,初五,癸巳,蛇,0,丁巳,庚辰,,,,,,
2013,5,15,星期三,2013,四月,初六,癸巳,蛇,0,丁巳,辛巳,,,,,,
2013,5,16,星期四,2013,四月,初七,癸巳,蛇,0,丁巳,壬午,,,,,,
2013,5,17,星期五,2013,四月,初八,癸巳,蛇,0,丁巳,癸未,,,,,,
2013,5,18,星期六,2013,四月,初九,癸巳,蛇,0,丁巳,甲申,,,,,,
2013,5,19,星期日,2013,四月,初十,癸巳,蛇,0,丁巳,乙酉,,,,,,
2013,5,20,星期一,2013,四月,十一,癸巳,蛇,0,丁巳,丙戌,,,,,,
2013,5,21,星期二,2013,四月,十二,癸巳,蛇,0,丁巳,丁亥,小满,5:09:30,,,,
2013,5,22,星期三,2013,四月,十三,癸巳,蛇,0,丁巳,戊子,,,,,,
2013,5,23,星期四,2013,四月,十四,癸巳,蛇,0,丁巳,己丑,,,,,,
2013,5,24,星期五,2013,四月,十五,癸巳,蛇,0,丁巳,庚寅,,,,,,
2013,5,25,星期六,2013,四月,十六,癸巳,蛇,0,丁巳,辛卯,,,,,,
2013,5,26,星期日,2013,四月,十七,癸巳,蛇,0,丁巳,壬辰,,,,,,
2013,5,27,星期一,2013,四月,十八,癸巳,蛇,0,丁巳,癸巳,,,,,,
2013,5,28,星期二,2013,四月,十九,癸巳,蛇,0,丁巳,甲午,,,,,,
2013,5,29,星期三,2013,四月,二十,癸巳,蛇,0,丁巳,乙未,,,,,,
2013,5,30,星期四,2013,四月,廿一,癸巳,蛇,0,丁巳,丙申,,,,,,
2013,5,31,星期五,2013,四月,廿二,癸巳,蛇,0,丁巳,丁酉,,,,,,
2013,6,1,星期六,2013,四月,廿三,癸巳,蛇,0,丁巳,戊戌,,,儿童节,,,
2013,6,2,星期日,2013,四月,廿四,癸巳,蛇,0,丁巳,己亥,,,,,,
2013,6,3,星期一,2013,四月,廿五,癸巳,蛇,0,丁巳,庚子,,,,,,
2013,6,4,星期二,2013,四月,廿六,癸巳,蛇,0,丁巳,辛丑,,,,,,
2013,6,5,星期三,2013,四月,廿七,癸巳,蛇,0,戊午,壬寅,芒种,20:23:19,,,,
2013,6,6,星期四,2013,四月,廿八,癸巳,蛇,0,戊午,癸卯,,,,,,
2013,6,7,星期五,2013,四月,廿九,癸巳,蛇,0,戊午,甲辰,,,,,,
2013,6,8,星期六,2013,五月,初一,癸巳,蛇,0,戊午,乙巳,,,,,,
2013,6,9,星期日,2013,五月,初二,癸巳,蛇,0,戊午,丙午,,,,,,
2013,6,10,星期一,2013,五月,初三,癸巳,蛇,0,戊午,丁未,,,,,,
2013,6,11,星期二,2013,五月,初四,癸巳,蛇,0,戊午,戊申,,,,,,
2013,6,12,星期三,2013,五月,初五,癸巳,蛇,0,戊午,己酉,,,,端午节,,
2013,6,13,星期四,2013,五月,初六,癸巳,蛇,0,戊午,庚戌,,,,,,
2013,6,14,星期五,2013,五月,初七,癸巳,蛇,0,戊午,辛亥,,,,,,
2013,6,15,星期六,2013,五月,初八,癸巳,蛇,0,戊午,壬子,,,,,,
2013,6,16,星期日,2013,五月,初九,癸巳,蛇,0,戊午,癸丑,,,,,父亲节,
2013,6,17,星期一,2013,五月,初十,癸巳,蛇,0,戊午,甲寅,,,,,,
2013,6,18,星期二,2013,五月,十一,癸巳,蛇,0,戊午,乙卯,,,,,,
2013,6,19,星期三,2013,五月,十二,癸巳,蛇,0,戊午,丙辰,,,,,,
2013,6,20,星期四,2013,五月,十三,癸巳,蛇,0,戊午,丁巳,,,,,,
2013,6,21,星期五,2013,五月,十四,癸巳,蛇,0,戊午,戊午,夏至,13:03:56,,,,
2013,6,22,星期六,2013,五月,十五,癸巳,蛇,0,戊午,己未,,,,,,
2013,6,23,星期日,2013,五月,十六,癸巳,蛇,0,戊午,庚申,,,,,,
2013,6,24,星期一,2013,五月,十七,癸巳,蛇,0,戊午,辛酉,,,,,,
2013,6,25,星期二,2013,五月,十八,癸巳,蛇,0,戊午,壬戌,,,,,,
2013,6,26,星期三,2013,五月,十九,癸巳,蛇,0,戊午,癸亥,,,,,,
2013,6,27,星期四,2013,五月,二十,癸巳,蛇,0,戊午,甲子,,,,,,
2013,6,28,星期五,2013,五月,廿一,癸巳,蛇,0,戊午,乙丑,,,,,,
2013,6,29,星期六,2013,五月,廿二,癸巳,蛇,0,戊午,丙寅,,,,,,
2013,6,30,星期日,2013,五月,廿三,癸巳,蛇,0,戊午,丁卯,,,,,,
2013,7,1,星期一,2013,五月,廿四,癸巳,蛇,0,戊午,戊辰,,,建党节,,,
2013,7,2,星期二,2013,五月,廿五,癸巳,蛇,0,戊午,己巳,,,,,,
2013,7,3,星期三,2013,五月,廿六,癸巳,蛇,0,戊午,庚午,,,,,,
2013,7,4,星期四,2013,五月,廿七,癸巳,蛇,0,戊午,辛未,,,,,,
2013,7,5,星期五,2013,五月,廿八,癸巳,蛇,0,戊午,壬申,,,,,,
2013,7,6,星期六,2013,五月,廿九,癸巳,蛇,0,戊午,癸酉,,,,,,
2013,7,7,星期日,2013,五月,三十,癸巳,蛇,0,己未,甲戌,小暑,6:34:36,,,,
2013,7,8,星期一,2013,六月,初一,癸巳,蛇,0,己未,乙亥,,,,,,
2013,7,9,星期二,2013,六月,初二,癸巳,蛇,0,己未,丙子,,,,,,
2013,7,10,星期三,2013,六月,初三,癸巳,蛇,0,己未,丁丑,,,,,,
2013,7,11,星期四,2013,六月,初四,癸巳,蛇,0,己未,戊寅,,,,,,
2013,7,12,星期五,2013,六月,初五,癸巳,蛇,0,己未,己卯,,,,,,
2013,7,13,星期六,2013,六月,初六,癸巳,蛇,0,己未,庚辰,,,,,,初伏第一天
2013,7,14,星期日,2013,六月,初七,癸巳,蛇,0,己未,辛巳,,,,,,初伏第二天
2013,7,15,星期一,2013,六月,初八,癸巳,蛇,0,己未,壬午,,,,,,初伏第三天
2013,7,16,星期二,2013,六月,初九,癸巳,蛇,0,己未,癸未,,,,,,初伏第四天
2013,7,17,星期三,2013,六月,初十,癸巳,蛇,0,己未,甲申,,,,,,初伏第五天
2013,7,18,星期四,2013,六月,十一,癸巳,蛇,0,己未,乙酉,,,,,,初伏第六天
2013,7,19,星期五,2013,六月,十二,癸巳,蛇,0,己未,丙戌,,,,,,初伏第七天
2013,7,20,星期六,2013,六月,十三,癸巳,蛇,0,己未,丁亥,,,,,,初伏第八天
2013,7,21,星期日,2013,六月,十四,癸巳,蛇,0,己未,戊子,,,,,,初伏第九天
2013,7,22,星期一,2013,六月,十五,癸巳,蛇,0,己未,己丑,大暑,23:55:58,,,,初伏第十天
2013,7,23,星期二,2013,六月,十六,癸巳,蛇,0,己未,庚寅,,,,,,中伏第一天
2013,7,24,星期三,2013,六月,十七,癸巳,蛇,0,己未,辛卯,,,,,,中伏第二天
2013,7,25,星期四,2013,六月,十八,癸巳,蛇,0,己未,壬辰,,,,,,中伏第三天
2013,7,26,星期五,2013,六月,十九,癸巳,蛇,0,己未,癸巳,,,,,,中伏第四天
2013,7,27,星期六,2013,六月,二十,癸巳,蛇,0,己未,甲午,,,,,,中伏第五天
2013,7,28,星期日,2013,六月,廿一,癸巳,蛇,0,己未,乙未,,,,,,中伏第六天
2013,7,29,星期一,2013,六月,廿二,癸巳,蛇,0,己未,丙申,,,,,,中伏第七天
2013,7,30,星期二,2013,六月,廿三,癸巳,蛇,0,己未,丁酉,,,,,,中伏第八天
2013,7,31,星期三,2013,六月,廿四,癸巳,蛇,0,己未,戊戌,,,,,,中伏第九天
2013,8,1,星期四,2013,六月,廿五,癸巳,蛇,0,己未,己亥,,,建军节,,,中伏第十天
2013,8,2,星期五,2013,六月,廿六,癸巳,蛇,0,己未,庚子,,,,,,闰中伏第一天
2013,8,3,星期六,2013,六月,廿七,癸巳,蛇,0,己未,辛丑,,,,,,闰中伏第二天
2013,8,4,星期日,2013,六月,廿八,癸巳,蛇,0,己未,壬寅,,,,,,闰中伏第三天
2013,8,5,星期一,2013,六月,廿九,癸巳,蛇,0,己未,癸卯,,,,,,闰中伏第四天
2013,8,6,星期二,2013,六月,三十,癸巳,蛇,0,己未,甲辰,,,,,,闰中伏第五天
2013,8,7,星期三,2013,七月,初一,癸巳,蛇,0,庚申,乙巳,立秋,16:20:21,,,,闰中伏第六天
2013,8,8,星期四,2013,七月,初二,癸巳,蛇,0,庚申,丙午,,,,,,闰中伏第七天
2013,8,9,星期五,2013,七月,初三,癸巳,蛇,0,庚申,丁未,,,,,,闰中伏第八天
2013,8,10,星期六,2013,七月,初四,癸巳,蛇,0,庚申,戊申,,,,,,闰中伏第九天
2013,8,11,星期日,2013,七月,初五,癸巳,蛇,0,庚申,己酉,,,,,,闰中伏第十天
2013,8,12,星期一,2013,七月,初六,癸巳,蛇,0,庚申,庚戌,,,,,,末伏第一天
2013,8,13,星期二,2013,七月,初七,癸巳,蛇,0,庚申,辛亥,,,,七夕,,末伏第二天
2013,8,14,星期三,2013,七月,初八,癸巳,蛇,0,庚申,壬子,,,,,,末伏第三天
2013,8,15,星期四,2013,七月,初九,癸巳,蛇,0,庚申,癸丑,,,,,,末伏第四天
2013,8,16,星期五,2013,七月,初十,癸巳,蛇,0,庚申,甲寅,,,,,,末伏第五天
2013,8,17,星期六,2013,七月,十一,癸巳,蛇,0,庚申,乙卯,,,,,,末伏第六天
2013,8,18,星期日,2013,七月,十二,癸巳,蛇,0,庚申,丙辰,,,,,,末伏第七天
2013,8,19,星期一,2013,七月,十三,癸巳,蛇,0,庚申,丁巳,,,,,,末伏第八天
2013,8,20,星期二,2013,七月,十四,癸巳,蛇,0,庚申,戊午,,,,,,末伏第九天
2013,8,21,星期三,2013,七月,十五,癸巳,蛇,0,庚申,己未,,,,,,末伏第十天
2013,8,22,星期四,2013,七月,十六,癸巳,蛇,0,庚申,庚申,,,,,,
2013,8,23,星期五,2013,七月,十七,癸巳,蛇,0,庚申,辛酉,处暑,7:01:41,,,,
